loss,epoch
2.0905,0.02
2.0539,0.04
1.6309,0.06
0.9394,0.08
0.5909,0.1
0.8187,0.12
0.6823,0.14
0.5603,0.16
0.4464,0.18
0.3676,0.2
0.6558,0.22
0.5501,0.24
0.4834,0.26
0.4131,0.28
0.3571,0.31
0.6161,0.33
0.5211,0.35
0.4677,0.37
0.3974,0.39
0.3467,0.41
0.5929,0.43
0.5044,0.45
0.4508,0.47
0.3906,0.49
0.3374,0.51
0.5837,0.53
0.4966,0.55
0.4463,0.57
0.3864,0.59
0.3321,0.61
0.5683,0.63
0.4896,0.65
0.4345,0.67
0.3768,0.69
0.3259,0.71
0.5544,0.73
0.4811,0.75
0.432,0.77
0.3681,0.79
0.3283,0.81
0.5486,0.83
0.478,0.85
0.4389,0.88
0.376,0.9
0.3285,0.92
0.5316,0.94
0.466,0.96
0.3976,0.98
0.333,1.0
0.5051,1.02
0.4718,1.04
0.4241,1.06
0.3742,1.08
0.324,1.1
0.4992,1.12
