loss,epoch
2.1562,0.02
2.1789,0.04
1.8249,0.06
1.1486,0.08
0.6111,0.1
0.8303,0.12
0.6941,0.14
0.5937,0.16
0.5003,0.18
0.4049,0.2
0.681,0.22
0.5709,0.24
0.5005,0.26
0.4268,0.28
0.3678,0.31
0.6333,0.33
0.5409,0.35
0.4849,0.37
0.4112,0.39
0.355,0.41
0.6127,0.43
0.5252,0.45
0.467,0.47
0.405,0.49
0.3466,0.51
0.6035,0.53
0.5167,0.55
0.4624,0.57
0.3995,0.59
0.3425,0.61
0.5876,0.63
0.5104,0.65
0.4496,0.67
0.3893,0.69
0.3347,0.71
0.5763,0.73
0.4987,0.75
0.4483,0.77
0.3807,0.79
0.3367,0.81
0.5685,0.83
0.4966,0.85
0.452,0.88
0.385,0.9
0.338,0.92
0.5522,0.94
0.4842,0.96
0.4121,0.98
0.3441,1.0
0.5257,1.02
0.4942,1.04
0.4403,1.06
0.3876,1.08
0.333,1.1
0.5198,1.12
