loss,epoch
2.1564,0.02
2.1829,0.04
1.8279,0.06
1.1496,0.08
0.6154,0.1
0.8316,0.12
0.7086,0.14
0.5977,0.16
0.4813,0.18
0.3813,0.2
0.6846,0.22
0.5725,0.24
0.5016,0.26
0.4277,0.28
0.3685,0.31
0.6353,0.33
0.5417,0.35
0.4853,0.37
0.4119,0.39
0.3553,0.41
0.613,0.43
0.5269,0.45
0.4684,0.47
0.4055,0.49
0.3464,0.51
0.604,0.53
0.5169,0.55
0.4632,0.57
0.4004,0.59
0.3425,0.61
0.5885,0.63
0.5112,0.65
0.4506,0.67
0.3899,0.69
0.3349,0.71
0.5758,0.73
0.4994,0.75
0.4484,0.77
0.3815,0.79
0.337,0.81
0.5687,0.83
0.497,0.85
0.4522,0.88
0.3858,0.9
0.3384,0.92
0.5528,0.94
0.4847,0.96
0.4125,0.98
0.3446,1.0
0.5263,1.02
0.4944,1.04
0.4407,1.06
0.3881,1.08
0.3335,1.1
0.5204,1.12
