loss,epoch
2.0904,0.02
2.0517,0.04
1.6299,0.06
0.9411,0.08
0.5914,0.1
0.8179,0.12
0.6809,0.14
0.5441,0.16
0.4453,0.18
0.3665,0.2
0.6534,0.22
0.549,0.24
0.4827,0.26
0.4124,0.28
0.3566,0.31
0.6154,0.33
0.5204,0.35
0.4669,0.37
0.3971,0.39
0.3463,0.41
0.5924,0.43
0.5036,0.45
0.4507,0.47
0.3904,0.49
0.3372,0.51
0.5817,0.53
0.4957,0.55
0.4456,0.57
0.3856,0.59
0.3318,0.61
0.5681,0.63
0.4886,0.65
0.4337,0.67
0.376,0.69
0.3258,0.71
0.5533,0.73
0.4798,0.75
0.4319,0.77
0.368,0.79
0.3281,0.81
0.5469,0.83
0.4752,0.85
0.4374,0.88
0.3741,0.9
0.3276,0.92
0.5309,0.94
0.465,0.96
0.3975,0.98
0.3325,1.0
0.5043,1.02
0.471,1.04
0.4229,1.06
0.3736,1.08
0.324,1.1
0.4983,1.12
