loss,epoch
2.0903,0.02
2.0516,0.04
1.6278,0.06
0.9382,0.08
0.5915,0.1
0.8176,0.12
0.6811,0.14
0.5443,0.16
0.4448,0.18
0.3667,0.2
0.6535,0.22
0.5487,0.24
0.4825,0.26
0.4122,0.28
0.3562,0.31
0.6156,0.33
0.5201,0.35
0.4666,0.37
0.3969,0.39
0.3461,0.41
0.5929,0.43
0.5038,0.45
0.4507,0.47
0.3904,0.49
0.3371,0.51
0.5829,0.53
0.4963,0.55
0.4458,0.57
0.3858,0.59
0.3319,0.61
0.5683,0.63
0.4889,0.65
0.4341,0.67
0.3763,0.69
0.3256,0.71
0.5535,0.73
0.4801,0.75
0.4315,0.77
0.3676,0.79
0.328,0.81
0.5488,0.83
0.4772,0.85
0.4384,0.88
0.3754,0.9
0.3277,0.92
0.5317,0.94
0.4653,0.96
0.3974,0.98
0.3323,1.0
0.5046,1.02
0.4715,1.04
0.4235,1.06
0.374,1.08
0.3237,1.1
0.4992,1.12
