loss,epoch
2.0913,0.02
2.0559,0.04
1.6367,0.06
0.942,0.08
0.5943,0.1
0.8178,0.12
0.6786,0.14
0.5303,0.16
0.4448,0.18
0.367,0.2
0.6534,0.22
0.5493,0.24
0.483,0.26
0.4126,0.28
0.3569,0.31
0.6155,0.33
0.5202,0.35
0.4672,0.37
0.3971,0.39
0.3464,0.41
0.5926,0.43
0.5045,0.45
0.4509,0.47
0.391,0.49
0.3372,0.51
0.5832,0.53
0.4965,0.55
0.446,0.57
0.3863,0.59
0.3317,0.61
0.5683,0.63
0.4891,0.65
0.4344,0.67
0.3768,0.69
0.326,0.71
0.554,0.73
0.4805,0.75
0.4319,0.77
0.3685,0.79
0.3285,0.81
0.5482,0.83
0.477,0.85
0.4381,0.88
0.3748,0.9
0.328,0.92
0.5313,0.94
0.4653,0.96
0.3971,0.98
0.3324,1.0
0.5045,1.02
0.4717,1.04
0.4237,1.06
0.3742,1.08
0.3238,1.1
0.4992,1.12
