loss,learning_rate,epoch,steps
2.0412,2.9999999999999997e-06,0.0,1
2.2379,5.999999999999999e-06,0.0,2
2.3089,8.999999999999999e-06,0.01,3
2.3484,1.1999999999999999e-05,0.01,4
2.3686,1.4999999999999999e-05,0.01,5
2.3882,1.7999999999999997e-05,0.01,6
2.3767,2.1e-05,0.01,7
2.4224,2.3999999999999997e-05,0.02,8
2.4081,2.6999999999999996e-05,0.02,9
2.3878,2.9999999999999997e-05,0.02,10
2.4079,3.2999999999999996e-05,0.02,11
2.3969,3.5999999999999994e-05,0.02,12
2.3977,3.9e-05,0.03,13
2.3875,4.2e-05,0.03,14
2.3631,4.4999999999999996e-05,0.03,15
2.3343,4.7999999999999994e-05,0.03,16
2.3005,5.1e-05,0.03,17
2.2929,5.399999999999999e-05,0.04,18
2.2549,5.6999999999999996e-05,0.04,19
2.2427,5.9999999999999995e-05,0.04,20
2.2091,6.299999999999999e-05,0.04,21
2.1697,6.599999999999999e-05,0.04,22
2.1428,6.9e-05,0.05,23
2.1198,7.199999999999999e-05,0.05,24
2.0488,7.5e-05,0.05,25
2.0361,7.8e-05,0.05,26
2.0074,8.1e-05,0.05,27
1.9524,8.4e-05,0.06,28
1.9213,8.699999999999999e-05,0.06,29
1.8394,8.999999999999999e-05,0.06,30
1.8046,9.3e-05,0.06,31
1.7183,9.599999999999999e-05,0.07,32
1.6297,9.9e-05,0.07,33
1.5466,0.000102,0.07,34
1.4467,0.00010499999999999999,0.07,35
1.3353,0.00010799999999999998,0.07,36
1.2297,0.00011099999999999999,0.08,37
1.1084,0.00011399999999999999,0.08,38
0.9977,0.000117,0.08,39
0.9142,0.00011999999999999999,0.08,40
0.7931,0.00012299999999999998,0.08,41
0.7574,0.00012599999999999997,0.09,42
0.6899,0.000129,0.09,43
0.6426,0.00013199999999999998,0.09,44
0.6127,0.000135,0.09,45
0.5327,0.000138,0.09,46
0.5189,0.00014099999999999998,0.1,47
0.4775,0.00014399999999999998,0.1,48
0.5044,0.000147,0.1,49
0.5539,0.00015,0.1,50
0.8694,0.00015299999999999998,0.1,51
0.8313,0.000156,0.11,52
0.813,0.000159,0.11,53
0.7469,0.000162,0.11,54
0.7197,0.000165,0.11,55
0.7086,0.000168,0.11,56
0.6989,0.00017099999999999998,0.12,57
0.6688,0.00017399999999999997,0.12,58
0.6635,0.00017699999999999997,0.12,59
0.6524,0.00017999999999999998,0.12,60
0.6271,0.00018299999999999998,0.12,61
0.6161,0.000186,0.13,62
0.6105,0.00018899999999999999,0.13,63
0.5957,0.00019199999999999998,0.13,64
0.5802,0.000195,0.13,65
0.5822,0.000198,0.13,66
0.5593,0.000201,0.14,67
0.563,0.000204,0.14,68
0.5328,0.00020699999999999996,0.14,69
0.5401,0.00020999999999999998,0.14,70
0.5447,0.00021299999999999997,0.14,71
0.5333,0.00021599999999999996,0.15,72
0.5148,0.00021899999999999998,0.15,73
0.4961,0.00022199999999999998,0.15,74
0.507,0.000225,0.15,75
0.4816,0.00022799999999999999,0.15,76
0.4904,0.00023099999999999998,0.16,77
0.4714,0.000234,0.16,78
0.4563,0.000237,0.16,79
0.4674,0.00023999999999999998,0.16,80
0.4703,0.000243,0.16,81
0.4436,0.00024599999999999996,0.17,82
0.4507,0.000249,0.17,83
0.4336,0.00025199999999999995,0.17,84
0.4192,0.00025499999999999996,0.17,85
0.4082,0.000258,0.18,86
0.4078,0.000261,0.18,87
0.4094,0.00026399999999999997,0.18,88
0.3938,0.000267,0.18,89
0.3996,0.00027,0.18,90
0.387,0.00027299999999999997,0.19,91
0.3811,0.000276,0.19,92
0.366,0.000279,0.19,93
0.348,0.00028199999999999997,0.19,94
0.3383,0.000285,0.19,95
0.3498,0.00028799999999999995,0.2,96
0.3234,0.00029099999999999997,0.2,97
0.3278,0.000294,0.2,98
0.3258,0.00029699999999999996,0.2,99
0.403,0.0003,0.2,100
0.7206,0.0002997272727272727,0.21,101
0.6745,0.0002994545454545454,0.21,102
0.6359,0.0002991818181818182,0.21,103
0.6182,0.0002989090909090909,0.21,104
0.6051,0.0002986363636363636,0.21,105
0.5927,0.0002983636363636363,0.22,106
0.5977,0.0002980909090909091,0.22,107
0.5714,0.00029781818181818175,0.22,108
0.566,0.0002975454545454545,0.22,109
0.5408,0.00029727272727272724,0.22,110
0.548,0.00029699999999999996,0.23,111
0.5409,0.0002967272727272727,0.23,112
0.5133,0.00029645454545454544,0.23,113
0.5058,0.00029618181818181816,0.23,114
0.4941,0.00029590909090909087,0.23,115
0.4898,0.00029563636363636364,0.24,116
0.4858,0.0002953636363636363,0.24,117
0.4802,0.0002950909090909091,0.24,118
0.4858,0.0002948181818181818,0.24,119
0.4749,0.0002945454545454545,0.24,120
0.4829,0.0002942727272727273,0.25,121
0.4553,0.000294,0.25,122
0.444,0.0002937272727272727,0.25,123
0.4428,0.0002934545454545454,0.25,124
0.446,0.00029318181818181814,0.25,125
0.4357,0.00029290909090909085,0.26,126
0.423,0.0002926363636363636,0.26,127
0.4199,0.00029236363636363634,0.26,128
0.4095,0.00029209090909090905,0.26,129
0.4076,0.0002918181818181818,0.26,130
0.3993,0.00029154545454545454,0.27,131
0.3765,0.00029127272727272726,0.27,132
0.3783,0.00029099999999999997,0.27,133
0.3756,0.0002907272727272727,0.27,134
0.3567,0.0002904545454545454,0.27,135
0.3604,0.0002901818181818182,0.28,136
0.3512,0.0002899090909090909,0.28,137
0.3254,0.0002896363636363636,0.28,138
0.3283,0.0002893636363636364,0.28,139
0.327,0.00028909090909090904,0.28,140
0.3289,0.0002888181818181818,0.29,141
0.3104,0.0002885454545454545,0.29,142
0.3174,0.00028827272727272724,0.29,143
0.2949,0.00028799999999999995,0.29,144
0.297,0.0002877272727272727,0.3,145
0.2883,0.00028745454545454544,0.3,146
0.2787,0.00028718181818181815,0.3,147
0.2605,0.0002869090909090909,0.3,148
0.2623,0.0002866363636363636,0.3,149
0.3451,0.00028636363636363636,0.31,150
0.6254,0.00028609090909090907,0.31,151
0.6003,0.0002858181818181818,0.31,152
0.5777,0.0002855454545454545,0.31,153
0.5577,0.00028527272727272727,0.31,154
0.5293,0.000285,0.32,155
0.5222,0.0002847272727272727,0.32,156
0.5019,0.0002844545454545454,0.32,157
0.5042,0.00028418181818181814,0.32,158
0.4845,0.0002839090909090909,0.32,159
0.4758,0.0002836363636363636,0.33,160
0.4746,0.00028336363636363634,0.33,161
0.4745,0.00028309090909090905,0.33,162
0.4625,0.0002828181818181818,0.33,163
0.4531,0.0002825454545454545,0.33,164
0.4573,0.00028227272727272725,0.34,165
0.4515,0.00028199999999999997,0.34,166
0.4415,0.0002817272727272727,0.34,167
0.4193,0.00028145454545454546,0.34,168
0.4254,0.00028118181818181817,0.34,169
0.4112,0.0002809090909090909,0.35,170
0.4035,0.0002806363636363636,0.35,171
0.4165,0.00028036363636363637,0.35,172
0.3948,0.00028009090909090903,0.35,173
0.4027,0.0002798181818181818,0.35,174
0.3934,0.0002795454545454545,0.36,175
0.3819,0.00027927272727272724,0.36,176
0.3879,0.000279,0.36,177
0.3824,0.0002787272727272727,0.36,178
0.3678,0.00027845454545454544,0.36,179
0.3638,0.00027818181818181815,0.37,180
0.3708,0.00027790909090909087,0.37,181
0.3454,0.0002776363636363636,0.37,182
0.3458,0.00027736363636363635,0.37,183
0.3427,0.00027709090909090907,0.37,184
0.335,0.0002768181818181818,0.38,185
0.3493,0.00027654545454545456,0.38,186
0.3163,0.00027627272727272727,0.38,187
0.3179,0.000276,0.38,188
0.2949,0.0002757272727272727,0.38,189
0.3061,0.0002754545454545454,0.39,190
0.3102,0.00027518181818181813,0.39,191
0.2927,0.0002749090909090909,0.39,192
0.2825,0.0002746363636363636,0.39,193
0.2813,0.00027436363636363634,0.39,194
0.2837,0.0002740909090909091,0.4,195
0.27,0.00027381818181818177,0.4,196
0.2671,0.00027354545454545454,0.4,197
0.2626,0.00027327272727272725,0.4,198
0.2655,0.00027299999999999997,0.41,199
0.3412,0.0002727272727272727,0.41,200
0.6155,0.00027245454545454545,0.41,201
0.5818,0.00027218181818181817,0.41,202
0.5642,0.0002719090909090909,0.41,203
0.5104,0.0002716363636363636,0.42,204
0.5143,0.0002713636363636363,0.42,205
0.4959,0.0002710909090909091,0.42,206
0.5071,0.0002708181818181818,0.42,207
0.4839,0.0002705454545454545,0.42,208
0.4836,0.00027027272727272723,0.43,209
0.473,0.00027,0.43,210
0.4641,0.00026972727272727266,0.43,211
0.4739,0.00026945454545454543,0.43,212
0.4344,0.00026918181818181815,0.43,213
0.4403,0.00026890909090909087,0.44,214
0.4464,0.00026863636363636364,0.44,215
0.4215,0.00026836363636363635,0.44,216
0.4275,0.00026809090909090907,0.44,217
0.4163,0.0002678181818181818,0.44,218
0.3986,0.00026754545454545455,0.45,219
0.4023,0.0002672727272727272,0.45,220
0.3883,0.000267,0.45,221
0.4163,0.0002667272727272727,0.45,222
0.3804,0.0002664545454545454,0.45,223
0.3878,0.0002661818181818182,0.46,224
0.3894,0.0002659090909090909,0.46,225
0.3729,0.0002656363636363636,0.46,226
0.3661,0.00026536363636363633,0.46,227
0.3637,0.00026509090909090905,0.46,228
0.3433,0.00026481818181818176,0.47,229
0.3747,0.00026454545454545453,0.47,230
0.3446,0.00026427272727272725,0.47,231
0.339,0.00026399999999999997,0.47,232
0.3374,0.00026372727272727274,0.47,233
0.3224,0.00026345454545454545,0.48,234
0.3321,0.00026318181818181817,0.48,235
0.3228,0.0002629090909090909,0.48,236
0.3082,0.0002626363636363636,0.48,237
0.3109,0.0002623636363636363,0.48,238
0.3049,0.0002620909090909091,0.49,239
0.3075,0.0002618181818181818,0.49,240
0.2991,0.0002615454545454545,0.49,241
0.2873,0.00026127272727272723,0.49,242
0.2713,0.000261,0.49,243
0.2885,0.0002607272727272727,0.5,244
0.2744,0.00026045454545454543,0.5,245
0.2652,0.00026018181818181815,0.5,246
0.2577,0.00025990909090909086,0.5,247
0.2621,0.00025963636363636363,0.5,248
0.2589,0.00025936363636363635,0.51,249
0.3198,0.00025909090909090907,0.51,250
0.5976,0.0002588181818181818,0.51,251
0.5679,0.0002585454545454545,0.51,252
0.5494,0.00025827272727272727,0.52,253
0.5223,0.000258,0.52,254
0.5009,0.0002577272727272727,0.52,255
0.4804,0.0002574545454545454,0.52,256
0.4839,0.0002571818181818182,0.52,257
0.4864,0.0002569090909090909,0.53,258
0.4666,0.0002566363636363636,0.53,259
0.4676,0.00025636363636363633,0.53,260
0.4585,0.00025609090909090905,0.53,261
0.4532,0.0002558181818181818,0.53,262
0.4371,0.00025554545454545453,0.54,263
0.4309,0.00025527272727272725,0.54,264
0.4179,0.00025499999999999996,0.54,265
0.398,0.00025472727272727273,0.54,266
0.4199,0.0002544545454545454,0.54,267
0.4102,0.00025418181818181817,0.55,268
0.3964,0.0002539090909090909,0.55,269
0.3823,0.0002536363636363636,0.55,270
0.3979,0.00025336363636363637,0.55,271
0.3782,0.0002530909090909091,0.55,272
0.3867,0.0002528181818181818,0.56,273
0.3919,0.0002525454545454545,0.56,274
0.3617,0.0002522727272727273,0.56,275
0.376,0.00025199999999999995,0.56,276
0.3721,0.0002517272727272727,0.56,277
0.3681,0.00025145454545454543,0.57,278
0.3545,0.00025118181818181815,0.57,279
0.3639,0.00025090909090909086,0.57,280
0.3373,0.00025063636363636363,0.57,281
0.3422,0.00025036363636363635,0.57,282
0.3384,0.00025009090909090906,0.58,283
0.3238,0.0002498181818181818,0.58,284
0.3154,0.0002495454545454545,0.58,285
0.328,0.00024927272727272727,0.58,286
0.3133,0.000249,0.58,287
0.296,0.0002487272727272727,0.59,288
0.2979,0.0002484545454545454,0.59,289
0.2837,0.0002481818181818182,0.59,290
0.2736,0.0002479090909090909,0.59,291
0.2917,0.0002476363636363636,0.59,292
0.2719,0.00024736363636363633,0.6,293
0.2878,0.00024709090909090905,0.6,294
0.2699,0.0002468181818181818,0.6,295
0.261,0.00024654545454545453,0.6,296
0.2655,0.00024627272727272725,0.6,297
0.2431,0.00024599999999999996,0.61,298
0.264,0.00024572727272727273,0.61,299
0.3066,0.00024545454545454545,0.61,300
0.5805,0.00024518181818181816,0.61,301
0.5666,0.0002449090909090909,0.61,302
0.5418,0.0002446363636363636,0.62,303
0.497,0.00024436363636363636,0.62,304
0.4878,0.00024409090909090905,0.62,305
0.478,0.0002438181818181818,0.62,306
0.4691,0.0002435454545454545,0.62,307
0.466,0.00024327272727272725,0.63,308
0.4645,0.000243,0.63,309
0.4493,0.0002427272727272727,0.63,310
0.4365,0.00024245454545454546,0.63,311
0.4358,0.00024218181818181814,0.64,312
0.4166,0.0002419090909090909,0.64,313
0.4158,0.0002416363636363636,0.64,314
0.43,0.00024136363636363635,0.64,315
0.4118,0.00024109090909090906,0.64,316
0.4068,0.0002408181818181818,0.65,317
0.4075,0.00024054545454545452,0.65,318
0.4038,0.00024027272727272726,0.65,319
0.3903,0.00023999999999999998,0.65,320
0.3966,0.0002397272727272727,0.65,321
0.3846,0.00023945454545454544,0.66,322
0.363,0.00023918181818181815,0.66,323
0.3735,0.0002389090909090909,0.66,324
0.3751,0.0002386363636363636,0.66,325
0.3582,0.00023836363636363635,0.66,326
0.3575,0.00023809090909090904,0.67,327
