loss,learning_rate,epoch,steps
1.9436,2.9999999999999997e-06,0.0,1
2.1289,5.999999999999999e-06,0.0,2
2.1966,8.999999999999999e-06,0.01,3
2.2348,1.1999999999999999e-05,0.01,4
2.2516,1.4999999999999999e-05,0.01,5
2.2716,1.7999999999999997e-05,0.01,6
2.2591,2.1e-05,0.01,7
2.3036,2.3999999999999997e-05,0.02,8
2.2893,2.6999999999999996e-05,0.02,9
2.2674,2.9999999999999997e-05,0.02,10
2.2882,3.2999999999999996e-05,0.02,11
2.2779,3.5999999999999994e-05,0.02,12
2.2797,3.9e-05,0.03,13
2.2705,4.2e-05,0.03,14
2.247,4.4999999999999996e-05,0.03,15
2.2218,4.7999999999999994e-05,0.03,16
2.1965,5.1e-05,0.03,17
2.199,5.399999999999999e-05,0.04,18
2.1693,5.6999999999999996e-05,0.04,19
2.15,5.9999999999999995e-05,0.04,20
2.1153,6.299999999999999e-05,0.04,21
2.0732,6.599999999999999e-05,0.04,22
2.0449,6.9e-05,0.05,23
2.0287,7.199999999999999e-05,0.05,24
1.9636,7.5e-05,0.05,25
1.9508,7.8e-05,0.05,26
1.919,8.1e-05,0.05,27
1.8616,8.4e-05,0.06,28
1.8188,8.699999999999999e-05,0.06,29
1.7302,8.999999999999999e-05,0.06,30
1.6849,9.3e-05,0.06,31
1.5906,9.599999999999999e-05,0.07,32
1.5003,9.9e-05,0.07,33
1.4156,0.000102,0.07,34
1.3088,0.00010499999999999999,0.07,35
1.1915,0.00010799999999999998,0.07,36
1.081,0.00011099999999999999,0.08,37
0.9537,0.00011399999999999999,0.08,38
0.8554,0.000117,0.08,39
0.7792,0.00011999999999999999,0.08,40
0.6655,0.00012299999999999998,0.08,41
0.642,0.00012599999999999997,0.09,42
0.5907,0.000129,0.09,43
0.5593,0.00013199999999999998,0.09,44
0.5386,0.000135,0.09,45
0.4712,0.000138,0.09,46
0.4672,0.00014099999999999998,0.1,47
0.4341,0.00014399999999999998,0.1,48
0.4636,0.000147,0.1,49
0.5231,0.00015,0.1,50
0.8725,0.00015,0.1,51
0.886,0.00015299999999999998,0.11,52
0.8671,0.000156,0.11,53
0.7544,0.000159,0.11,54
0.7243,0.000162,0.11,55
0.7189,0.000165,0.11,56
0.7139,0.000168,0.12,57
0.6796,0.00017099999999999998,0.12,58
0.6713,0.00017399999999999997,0.12,59
0.6583,0.00017699999999999997,0.12,60
0.6288,0.00017999999999999998,0.12,61
0.6127,0.00018299999999999998,0.13,62
0.604,0.000186,0.13,63
0.587,0.00018899999999999999,0.13,64
0.5718,0.00019199999999999998,0.13,65
0.5727,0.000195,0.13,66
0.5451,0.000198,0.14,67
0.5475,0.000201,0.14,68
0.5192,0.000204,0.14,69
0.5297,0.00020699999999999996,0.14,70
0.5324,0.00020999999999999998,0.14,71
0.5228,0.00021299999999999997,0.15,72
0.5052,0.00021599999999999996,0.15,73
0.4836,0.00021899999999999998,0.15,74
0.4955,0.00022199999999999998,0.15,75
0.4707,0.000225,0.15,76
0.4815,0.00022799999999999999,0.16,77
0.46,0.00023099999999999998,0.16,78
0.444,0.000234,0.16,79
0.4556,0.000237,0.16,80
0.4573,0.00023999999999999998,0.16,81
0.4314,0.000243,0.17,82
0.4394,0.00024599999999999996,0.17,83
0.4206,0.000249,0.17,84
0.4065,0.00025199999999999995,0.17,85
0.3943,0.00025499999999999996,0.18,86
0.3945,0.000258,0.18,87
0.3952,0.000261,0.18,88
0.3792,0.00026399999999999997,0.18,89
0.3841,0.000267,0.18,90
0.3685,0.00027,0.19,91
0.3649,0.00027299999999999997,0.19,92
0.3493,0.000276,0.19,93
0.3303,0.000279,0.19,94
