loss,learning_rate,epoch,steps
1.9541,2.9999999999999997e-06,0.0,1
2.1237,5.999999999999999e-06,0.0,2
2.193,8.999999999999999e-06,0.01,3
2.2239,1.1999999999999999e-05,0.01,4
2.2494,1.4999999999999999e-05,0.01,5
2.2529,1.7999999999999997e-05,0.01,6
2.2345,2.1e-05,0.01,7
2.2761,2.3999999999999997e-05,0.02,8
2.2459,2.6999999999999996e-05,0.02,9
2.2258,2.9999999999999997e-05,0.02,10
2.2273,3.2999999999999996e-05,0.02,11
2.2171,3.5999999999999994e-05,0.02,12
2.2076,3.9e-05,0.03,13
2.1919,4.2e-05,0.03,14
2.1674,4.4999999999999996e-05,0.03,15
2.1331,4.7999999999999994e-05,0.03,16
2.0838,5.1e-05,0.03,17
2.0968,5.399999999999999e-05,0.04,18
2.0721,5.6999999999999996e-05,0.04,19
2.0463,5.9999999999999995e-05,0.04,20
2.0074,6.299999999999999e-05,0.04,21
1.9558,6.599999999999999e-05,0.04,22
1.9067,6.9e-05,0.05,23
1.8738,7.199999999999999e-05,0.05,24
1.7515,7.5e-05,0.05,25
1.7283,7.8e-05,0.05,26
1.6598,8.1e-05,0.05,27
1.5776,8.4e-05,0.06,28
1.506,8.699999999999999e-05,0.06,29
1.3843,8.999999999999999e-05,0.06,30
1.3016,9.3e-05,0.06,31
1.1796,9.599999999999999e-05,0.07,32
1.0335,9.9e-05,0.07,33
0.9532,0.000102,0.07,34
0.874,0.00010499999999999999,0.07,35
0.8012,0.00010799999999999998,0.07,36
0.753,0.00011099999999999999,0.08,37
0.7019,0.00011399999999999999,0.08,38
0.6722,0.000117,0.08,39
0.6643,0.00011999999999999999,0.08,40
0.559,0.00012299999999999998,0.08,41
0.5989,0.00012599999999999997,0.09,42
0.5676,0.000129,0.09,43
0.5531,0.00013199999999999998,0.09,44
0.556,0.000135,0.09,45
0.4906,0.000138,0.09,46
0.4896,0.00014099999999999998,0.1,47
0.4345,0.00014399999999999998,0.1,48
0.4774,0.000147,0.1,49
0.5687,0.00015,0.1,50
0.869,0.00015299999999999998,0.1,51
0.8004,0.000156,0.11,52
0.7769,0.000159,0.11,53
0.7041,0.000162,0.11,54
0.6907,0.000165,0.11,55
0.6832,0.000168,0.11,56
0.6589,0.00017099999999999998,0.12,57
0.6591,0.00017399999999999997,0.12,58
0.6476,0.00017699999999999997,0.12,59
0.6355,0.00017999999999999998,0.12,60
0.5858,0.00018299999999999998,0.12,61
0.5982,0.000186,0.13,62
0.5943,0.00018899999999999999,0.13,63
0.5797,0.00019199999999999998,0.13,64
0.5653,0.000195,0.13,65
0.5586,0.000198,0.13,66
0.5128,0.000201,0.14,67
0.5282,0.000204,0.14,68
0.5303,0.00020699999999999996,0.14,69
0.5306,0.00020999999999999998,0.14,70
0.5373,0.00021299999999999997,0.14,71
0.5233,0.00021599999999999996,0.15,72
0.5099,0.00021899999999999998,0.15,73
0.4916,0.00022199999999999998,0.15,74
0.4588,0.000225,0.15,75
0.474,0.00022799999999999999,0.15,76
0.4895,0.00023099999999999998,0.16,77
0.4661,0.000234,0.16,78
0.4546,0.000237,0.16,79
0.4573,0.00023999999999999998,0.16,80
0.4466,0.000243,0.16,81
0.3966,0.00024599999999999996,0.17,82
0.3887,0.000249,0.17,83
0.3721,0.00025199999999999995,0.17,84
0.3624,0.00025499999999999996,0.17,85
0.3457,0.000258,0.18,86
0.3432,0.000261,0.18,87
0.3516,0.00026399999999999997,0.18,88
0.3338,0.000267,0.18,89
0.3396,0.00027,0.18,90
0.3211,0.00027299999999999997,0.19,91
0.3202,0.000276,0.19,92
0.304,0.000279,0.19,93
0.2878,0.00028199999999999997,0.19,94
0.2801,0.000285,0.19,95
0.2857,0.00028799999999999995,0.2,96
0.2698,0.00029099999999999997,0.2,97
0.2679,0.000294,0.2,98
0.2685,0.00029699999999999996,0.2,99
0.3528,0.0003,0.2,100
0.6859,0.0002997272727272727,0.21,101
0.6241,0.0002994545454545454,0.21,102
0.5839,0.0002991818181818182,0.21,103
0.5593,0.0002989090909090909,0.21,104
0.5438,0.0002986363636363636,0.21,105
0.5365,0.0002983636363636363,0.22,106
0.5421,0.0002980909090909091,0.22,107
0.5172,0.00029781818181818175,0.22,108
0.5116,0.0002975454545454545,0.22,109
0.4805,0.00029727272727272724,0.22,110
0.4839,0.00029699999999999996,0.23,111
0.4804,0.0002967272727272727,0.23,112
0.459,0.00029645454545454544,0.23,113
0.4525,0.00029618181818181816,0.23,114
0.4461,0.00029590909090909087,0.23,115
0.4348,0.00029563636363636364,0.24,116
0.4339,0.0002953636363636363,0.24,117
0.4285,0.0002950909090909091,0.24,118
0.4332,0.0002948181818181818,0.24,119
0.428,0.0002945454545454545,0.24,120
0.4365,0.0002942727272727273,0.25,121
0.411,0.000294,0.25,122
0.3995,0.0002937272727272727,0.25,123
0.4014,0.0002934545454545454,0.25,124
0.4001,0.00029318181818181814,0.25,125
0.3946,0.00029290909090909085,0.26,126
0.3817,0.0002926363636363636,0.26,127
0.3834,0.00029236363636363634,0.26,128
0.3657,0.00029209090909090905,0.26,129
0.3718,0.0002918181818181818,0.26,130
0.3663,0.00029154545454545454,0.27,131
0.344,0.00029127272727272726,0.27,132
0.3451,0.00029099999999999997,0.27,133
0.3448,0.0002907272727272727,0.27,134
0.3278,0.0002904545454545454,0.27,135
0.329,0.0002901818181818182,0.28,136
0.329,0.0002899090909090909,0.28,137
0.3041,0.0002896363636363636,0.28,138
0.3094,0.0002893636363636364,0.28,139
0.3084,0.00028909090909090904,0.28,140
0.3149,0.0002888181818181818,0.29,141
0.292,0.0002885454545454545,0.29,142
0.3058,0.00028827272727272724,0.29,143
0.2852,0.00028799999999999995,0.29,144
0.2856,0.0002877272727272727,0.3,145
0.2786,0.00028745454545454544,0.3,146
0.2681,0.00028718181818181815,0.3,147
0.2483,0.0002869090909090909,0.3,148
0.2532,0.0002866363636363636,0.3,149
0.3448,0.00028636363636363636,0.31,150
0.6157,0.00028609090909090907,0.31,151
0.5776,0.0002858181818181818,0.31,152
0.5574,0.0002855454545454545,0.31,153
0.5353,0.00028527272727272727,0.31,154
