{'loss': 1.9425, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 2.1139, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.181, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.215, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.2368, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.2442, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.2272, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.2659, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.2374, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.2161, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.2188, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.2093, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.1996, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.1847, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.1597, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.1244, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 2.0767, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.0882, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 2.0614, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 2.035, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 1.9976, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 1.9487, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.9016, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.8694, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.7473, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.7247, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.6589, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.5766, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.505, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.3827, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.2961, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.1724, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.0299, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 0.9554, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 0.8805, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 0.8051, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 0.75, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.6938, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.6659, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.6569, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
{'loss': 0.552, 'learning_rate': 0.00012299999999999998, 'epoch': 0.08, 'steps': 41}
{'loss': 0.592, 'learning_rate': 0.00012599999999999997, 'epoch': 0.09, 'steps': 42}
{'loss': 0.5593, 'learning_rate': 0.000129, 'epoch': 0.09, 'steps': 43}
{'loss': 0.548, 'learning_rate': 0.00013199999999999998, 'epoch': 0.09, 'steps': 44}
{'loss': 0.549, 'learning_rate': 0.000135, 'epoch': 0.09, 'steps': 45}
{'loss': 0.4846, 'learning_rate': 0.000138, 'epoch': 0.09, 'steps': 46}
{'loss': 0.4846, 'learning_rate': 0.00014099999999999998, 'epoch': 0.1, 'steps': 47}
{'loss': 0.4312, 'learning_rate': 0.00014399999999999998, 'epoch': 0.1, 'steps': 48}
{'loss': 0.4726, 'learning_rate': 0.000147, 'epoch': 0.1, 'steps': 49}
{'loss': 0.5589, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 50}
{'loss': 0.8476, 'learning_rate': 0.00015299999999999998, 'epoch': 0.1, 'steps': 51}
{'loss': 0.7892, 'learning_rate': 0.000156, 'epoch': 0.11, 'steps': 52}
{'loss': 0.7711, 'learning_rate': 0.000159, 'epoch': 0.11, 'steps': 53}
{'loss': 0.7009, 'learning_rate': 0.000162, 'epoch': 0.11, 'steps': 54}
{'loss': 0.6899, 'learning_rate': 0.000165, 'epoch': 0.11, 'steps': 55}
{'loss': 0.6814, 'learning_rate': 0.000168, 'epoch': 0.11, 'steps': 56}
{'loss': 0.6554, 'learning_rate': 0.00017099999999999998, 'epoch': 0.12, 'steps': 57}
{'loss': 0.6587, 'learning_rate': 0.00017399999999999997, 'epoch': 0.12, 'steps': 58}
{'loss': 0.6435, 'learning_rate': 0.00017699999999999997, 'epoch': 0.12, 'steps': 59}
{'loss': 0.6323, 'learning_rate': 0.00017999999999999998, 'epoch': 0.12, 'steps': 60}
{'loss': 0.5841, 'learning_rate': 0.00018299999999999998, 'epoch': 0.12, 'steps': 61}
{'loss': 0.5954, 'learning_rate': 0.000186, 'epoch': 0.13, 'steps': 62}
{'loss': 0.5922, 'learning_rate': 0.00018899999999999999, 'epoch': 0.13, 'steps': 63}
{'loss': 0.5789, 'learning_rate': 0.00019199999999999998, 'epoch': 0.13, 'steps': 64}
{'loss': 0.5643, 'learning_rate': 0.000195, 'epoch': 0.13, 'steps': 65}
{'loss': 0.5584, 'learning_rate': 0.000198, 'epoch': 0.13, 'steps': 66}
{'loss': 0.5114, 'learning_rate': 0.000201, 'epoch': 0.14, 'steps': 67}
{'loss': 0.527, 'learning_rate': 0.000204, 'epoch': 0.14, 'steps': 68}
{'loss': 0.5297, 'learning_rate': 0.00020699999999999996, 'epoch': 0.14, 'steps': 69}
{'loss': 0.5285, 'learning_rate': 0.00020999999999999998, 'epoch': 0.14, 'steps': 70}
{'loss': 0.5366, 'learning_rate': 0.00021299999999999997, 'epoch': 0.14, 'steps': 71}
{'loss': 0.5236, 'learning_rate': 0.00021599999999999996, 'epoch': 0.15, 'steps': 72}
{'loss': 0.5099, 'learning_rate': 0.00021899999999999998, 'epoch': 0.15, 'steps': 73}
{'loss': 0.4915, 'learning_rate': 0.00022199999999999998, 'epoch': 0.15, 'steps': 74}
{'loss': 0.4578, 'learning_rate': 0.000225, 'epoch': 0.15, 'steps': 75}
{'loss': 0.4741, 'learning_rate': 0.00022799999999999999, 'epoch': 0.15, 'steps': 76}
{'loss': 0.4908, 'learning_rate': 0.00023099999999999998, 'epoch': 0.16, 'steps': 77}
{'loss': 0.4693, 'learning_rate': 0.000234, 'epoch': 0.16, 'steps': 78}
{'loss': 0.4608, 'learning_rate': 0.000237, 'epoch': 0.16, 'steps': 79}
{'loss': 0.47, 'learning_rate': 0.00023999999999999998, 'epoch': 0.16, 'steps': 80}
{'loss': 0.4706, 'learning_rate': 0.000243, 'epoch': 0.16, 'steps': 81}
{'loss': 0.4451, 'learning_rate': 0.00024599999999999996, 'epoch': 0.17, 'steps': 82}
{'loss': 0.4023, 'learning_rate': 0.000249, 'epoch': 0.17, 'steps': 83}
