loss,learning_rate,epoch,steps
1.9425,2.9999999999999997e-06,0.0,1
2.1139,5.999999999999999e-06,0.0,2
2.181,8.999999999999999e-06,0.01,3
2.215,1.1999999999999999e-05,0.01,4
2.2368,1.4999999999999999e-05,0.01,5
2.2442,1.7999999999999997e-05,0.01,6
2.2272,2.1e-05,0.01,7
2.2659,2.3999999999999997e-05,0.02,8
2.2374,2.6999999999999996e-05,0.02,9
2.2161,2.9999999999999997e-05,0.02,10
2.2188,3.2999999999999996e-05,0.02,11
2.2093,3.5999999999999994e-05,0.02,12
2.1996,3.9e-05,0.03,13
2.1847,4.2e-05,0.03,14
2.1597,4.4999999999999996e-05,0.03,15
2.1244,4.7999999999999994e-05,0.03,16
2.0767,5.1e-05,0.03,17
2.0882,5.399999999999999e-05,0.04,18
2.0614,5.6999999999999996e-05,0.04,19
2.035,5.9999999999999995e-05,0.04,20
1.9976,6.299999999999999e-05,0.04,21
1.9487,6.599999999999999e-05,0.04,22
1.9016,6.9e-05,0.05,23
1.8694,7.199999999999999e-05,0.05,24
1.7473,7.5e-05,0.05,25
1.7247,7.8e-05,0.05,26
1.6589,8.1e-05,0.05,27
1.5766,8.4e-05,0.06,28
1.505,8.699999999999999e-05,0.06,29
1.3827,8.999999999999999e-05,0.06,30
1.2961,9.3e-05,0.06,31
1.1724,9.599999999999999e-05,0.07,32
1.0299,9.9e-05,0.07,33
0.9554,0.000102,0.07,34
0.8805,0.00010499999999999999,0.07,35
0.8051,0.00010799999999999998,0.07,36
0.75,0.00011099999999999999,0.08,37
0.6938,0.00011399999999999999,0.08,38
0.6659,0.000117,0.08,39
0.6569,0.00011999999999999999,0.08,40
0.552,0.00012299999999999998,0.08,41
0.592,0.00012599999999999997,0.09,42
0.5593,0.000129,0.09,43
0.548,0.00013199999999999998,0.09,44
0.549,0.000135,0.09,45
0.4846,0.000138,0.09,46
0.4846,0.00014099999999999998,0.1,47
0.4312,0.00014399999999999998,0.1,48
0.4726,0.000147,0.1,49
0.5589,0.00015,0.1,50
