{'loss': 1.8062, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 2.0172, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.0663, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.126, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.1465, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.1409, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.1714, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.1853, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.1782, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.1638, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.1775, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.1712, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.1554, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.1513, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.1377, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.1175, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 2.0713, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.0816, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 2.0526, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 2.0014, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 1.9826, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 1.9487, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.9158, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.8512, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.7902, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.7737, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.73, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.6846, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.6292, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.5674, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.4805, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.4109, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.3414, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 1.2191, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 1.1086, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 1.0571, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 0.9841, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.8974, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.816, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.7769, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
{'loss': 0.7164, 'learning_rate': 0.00012299999999999998, 'epoch': 0.08, 'steps': 41}
{'loss': 0.6632, 'learning_rate': 0.00012599999999999997, 'epoch': 0.09, 'steps': 42}
{'loss': 0.596, 'learning_rate': 0.000129, 'epoch': 0.09, 'steps': 43}
{'loss': 0.5921, 'learning_rate': 0.00013199999999999998, 'epoch': 0.09, 'steps': 44}
{'loss': 0.5864, 'learning_rate': 0.000135, 'epoch': 0.09, 'steps': 45}
{'loss': 0.562, 'learning_rate': 0.000138, 'epoch': 0.09, 'steps': 46}
{'loss': 0.5333, 'learning_rate': 0.00014099999999999998, 'epoch': 0.1, 'steps': 47}
{'loss': 0.524, 'learning_rate': 0.00014399999999999998, 'epoch': 0.1, 'steps': 48}
{'loss': 0.4973, 'learning_rate': 0.000147, 'epoch': 0.1, 'steps': 49}
{'loss': 0.5438, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 50}
{'loss': 0.8755, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 51}
{'loss': 0.8914, 'learning_rate': 0.00015299999999999998, 'epoch': 0.11, 'steps': 52}
{'loss': 0.8808, 'learning_rate': 0.000156, 'epoch': 0.11, 'steps': 53}
{'loss': 0.8428, 'learning_rate': 0.000159, 'epoch': 0.11, 'steps': 54}
{'loss': 0.8132, 'learning_rate': 0.000162, 'epoch': 0.11, 'steps': 55}
{'loss': 0.8069, 'learning_rate': 0.000165, 'epoch': 0.11, 'steps': 56}
{'loss': 0.7878, 'learning_rate': 0.000168, 'epoch': 0.12, 'steps': 57}
{'loss': 0.7576, 'learning_rate': 0.00017099999999999998, 'epoch': 0.12, 'steps': 58}
{'loss': 0.7329, 'learning_rate': 0.00017399999999999997, 'epoch': 0.12, 'steps': 59}
{'loss': 0.7932, 'learning_rate': 0.00017699999999999997, 'epoch': 0.12, 'steps': 60}
{'loss': 0.7806, 'learning_rate': 0.00017999999999999998, 'epoch': 0.12, 'steps': 61}
{'loss': 0.8127, 'learning_rate': 0.00018299999999999998, 'epoch': 0.13, 'steps': 62}
{'loss': 0.761, 'learning_rate': 0.000186, 'epoch': 0.13, 'steps': 63}
{'loss': 0.6785, 'learning_rate': 0.00018899999999999999, 'epoch': 0.13, 'steps': 64}
{'loss': 0.6687, 'learning_rate': 0.00019199999999999998, 'epoch': 0.13, 'steps': 65}
{'loss': 0.69, 'learning_rate': 0.000195, 'epoch': 0.13, 'steps': 66}
{'loss': 0.6481, 'learning_rate': 0.000198, 'epoch': 0.14, 'steps': 67}
{'loss': 0.6461, 'learning_rate': 0.000201, 'epoch': 0.14, 'steps': 68}
{'loss': 0.6418, 'learning_rate': 0.000204, 'epoch': 0.14, 'steps': 69}
{'loss': 0.6301, 'learning_rate': 0.00020699999999999996, 'epoch': 0.14, 'steps': 70}
{'loss': 0.6018, 'learning_rate': 0.00020999999999999998, 'epoch': 0.14, 'steps': 71}
{'loss': 0.5823, 'learning_rate': 0.00021299999999999997, 'epoch': 0.15, 'steps': 72}
{'loss': 0.5843, 'learning_rate': 0.00021599999999999996, 'epoch': 0.15, 'steps': 73}
{'loss': 0.5858, 'learning_rate': 0.00021899999999999998, 'epoch': 0.15, 'steps': 74}
{'loss': 0.5782, 'learning_rate': 0.00022199999999999998, 'epoch': 0.15, 'steps': 75}
{'loss': 0.5678, 'learning_rate': 0.000225, 'epoch': 0.15, 'steps': 76}
{'loss': 0.5447, 'learning_rate': 0.00022799999999999999, 'epoch': 0.16, 'steps': 77}
{'loss': 0.5449, 'learning_rate': 0.00023099999999999998, 'epoch': 0.16, 'steps': 78}
{'loss': 0.5426, 'learning_rate': 0.000234, 'epoch': 0.16, 'steps': 79}
{'loss': 0.5202, 'learning_rate': 0.000237, 'epoch': 0.16, 'steps': 80}
{'loss': 0.5104, 'learning_rate': 0.00023999999999999998, 'epoch': 0.16, 'steps': 81}
{'loss': 0.5126, 'learning_rate': 0.000243, 'epoch': 0.17, 'steps': 82}
{'loss': 0.4868, 'learning_rate': 0.00024599999999999996, 'epoch': 0.17, 'steps': 83}
{'loss': 0.4736, 'learning_rate': 0.000249, 'epoch': 0.17, 'steps': 84}
{'loss': 0.463, 'learning_rate': 0.00025199999999999995, 'epoch': 0.17, 'steps': 85}
{'loss': 0.4336, 'learning_rate': 0.00025499999999999996, 'epoch': 0.18, 'steps': 86}
{'loss': 0.4524, 'learning_rate': 0.000258, 'epoch': 0.18, 'steps': 87}
{'loss': 0.4182, 'learning_rate': 0.000261, 'epoch': 0.18, 'steps': 88}
{'loss': 0.4138, 'learning_rate': 0.00026399999999999997, 'epoch': 0.18, 'steps': 89}
{'loss': 0.3993, 'learning_rate': 0.000267, 'epoch': 0.18, 'steps': 90}
{'loss': 0.4043, 'learning_rate': 0.00027, 'epoch': 0.19, 'steps': 91}
{'loss': 0.3881, 'learning_rate': 0.00027299999999999997, 'epoch': 0.19, 'steps': 92}
{'loss': 0.3856, 'learning_rate': 0.000276, 'epoch': 0.19, 'steps': 93}
{'loss': 0.3465, 'learning_rate': 0.000279, 'epoch': 0.19, 'steps': 94}
{'loss': 0.343, 'learning_rate': 0.00028199999999999997, 'epoch': 0.19, 'steps': 95}
{'loss': 0.3516, 'learning_rate': 0.000285, 'epoch': 0.2, 'steps': 96}
{'loss': 0.3295, 'learning_rate': 0.00028799999999999995, 'epoch': 0.2, 'steps': 97}
{'loss': 0.3436, 'learning_rate': 0.00029099999999999997, 'epoch': 0.2, 'steps': 98}
{'loss': 0.3047, 'learning_rate': 0.000294, 'epoch': 0.2, 'steps': 99}
{'loss': 0.3694, 'learning_rate': 0.00029699999999999996, 'epoch': 0.2, 'steps': 100}
{'loss': 0.7477, 'learning_rate': 0.0003, 'epoch': 0.21, 'steps': 101}
{'loss': 0.7107, 'learning_rate': 0.000299, 'epoch': 0.21, 'steps': 102}
{'loss': 0.6776, 'learning_rate': 0.000298, 'epoch': 0.21, 'steps': 103}
{'loss': 0.6655, 'learning_rate': 0.00029699999999999996, 'epoch': 0.21, 'steps': 104}
{'loss': 0.6351, 'learning_rate': 0.000296, 'epoch': 0.21, 'steps': 105}
{'loss': 0.6254, 'learning_rate': 0.00029499999999999996, 'epoch': 0.22, 'steps': 106}
{'loss': 0.6309, 'learning_rate': 0.000294, 'epoch': 0.22, 'steps': 107}
{'loss': 0.6231, 'learning_rate': 0.00029299999999999997, 'epoch': 0.22, 'steps': 108}
{'loss': 0.6042, 'learning_rate': 0.000292, 'epoch': 0.22, 'steps': 109}
{'loss': 0.5832, 'learning_rate': 0.00029099999999999997, 'epoch': 0.22, 'steps': 110}
{'loss': 0.5702, 'learning_rate': 0.00029, 'epoch': 0.23, 'steps': 111}
{'loss': 0.5558, 'learning_rate': 0.000289, 'epoch': 0.23, 'steps': 112}
{'loss': 0.5407, 'learning_rate': 0.00028799999999999995, 'epoch': 0.23, 'steps': 113}
{'loss': 0.5487, 'learning_rate': 0.000287, 'epoch': 0.23, 'steps': 114}
{'loss': 0.5544, 'learning_rate': 0.00028599999999999996, 'epoch': 0.23, 'steps': 115}
{'loss': 0.536, 'learning_rate': 0.000285, 'epoch': 0.24, 'steps': 116}
{'loss': 0.5378, 'learning_rate': 0.00028399999999999996, 'epoch': 0.24, 'steps': 117}
{'loss': 0.5302, 'learning_rate': 0.000283, 'epoch': 0.24, 'steps': 118}
{'loss': 0.5176, 'learning_rate': 0.00028199999999999997, 'epoch': 0.24, 'steps': 119}
{'loss': 0.5126, 'learning_rate': 0.00028099999999999995, 'epoch': 0.24, 'steps': 120}
{'loss': 0.5, 'learning_rate': 0.00028, 'epoch': 0.25, 'steps': 121}
{'loss': 0.4898, 'learning_rate': 0.000279, 'epoch': 0.25, 'steps': 122}
{'loss': 0.4886, 'learning_rate': 0.000278, 'epoch': 0.25, 'steps': 123}
{'loss': 0.4916, 'learning_rate': 0.00027699999999999996, 'epoch': 0.25, 'steps': 124}
{'loss': 0.469, 'learning_rate': 0.000276, 'epoch': 0.25, 'steps': 125}
{'loss': 0.486, 'learning_rate': 0.00027499999999999996, 'epoch': 0.26, 'steps': 126}
{'loss': 0.4694, 'learning_rate': 0.000274, 'epoch': 0.26, 'steps': 127}
{'loss': 0.4544, 'learning_rate': 0.00027299999999999997, 'epoch': 0.26, 'steps': 128}
{'loss': 0.4596, 'learning_rate': 0.00027199999999999994, 'epoch': 0.26, 'steps': 129}
{'loss': 0.4327, 'learning_rate': 0.000271, 'epoch': 0.26, 'steps': 130}
{'loss': 0.4366, 'learning_rate': 0.00027, 'epoch': 0.27, 'steps': 131}
{'loss': 0.4087, 'learning_rate': 0.000269, 'epoch': 0.27, 'steps': 132}
{'loss': 0.4296, 'learning_rate': 0.00026799999999999995, 'epoch': 0.27, 'steps': 133}
{'loss': 0.4238, 'learning_rate': 0.000267, 'epoch': 0.27, 'steps': 134}
{'loss': 0.4039, 'learning_rate': 0.000266, 'epoch': 0.27, 'steps': 135}
{'loss': 0.4146, 'learning_rate': 0.000265, 'epoch': 0.28, 'steps': 136}
{'loss': 0.3833, 'learning_rate': 0.00026399999999999997, 'epoch': 0.28, 'steps': 137}
{'loss': 0.3894, 'learning_rate': 0.000263, 'epoch': 0.28, 'steps': 138}
{'loss': 0.3741, 'learning_rate': 0.00026199999999999997, 'epoch': 0.28, 'steps': 139}
{'loss': 0.3799, 'learning_rate': 0.000261, 'epoch': 0.28, 'steps': 140}
{'loss': 0.3919, 'learning_rate': 0.00026, 'epoch': 0.29, 'steps': 141}
{'loss': 0.3803, 'learning_rate': 0.00025899999999999995, 'epoch': 0.29, 'steps': 142}
{'loss': 0.344, 'learning_rate': 0.000258, 'epoch': 0.29, 'steps': 143}
{'loss': 0.3459, 'learning_rate': 0.00025699999999999996, 'epoch': 0.29, 'steps': 144}
{'loss': 0.3404, 'learning_rate': 0.000256, 'epoch': 0.3, 'steps': 145}
{'loss': 0.3371, 'learning_rate': 0.00025499999999999996, 'epoch': 0.3, 'steps': 146}
{'loss': 0.3196, 'learning_rate': 0.000254, 'epoch': 0.3, 'steps': 147}
{'loss': 0.3049, 'learning_rate': 0.00025299999999999997, 'epoch': 0.3, 'steps': 148}
{'loss': 0.3088, 'learning_rate': 0.00025199999999999995, 'epoch': 0.3, 'steps': 149}
{'loss': 0.3681, 'learning_rate': 0.000251, 'epoch': 0.31, 'steps': 150}
{'loss': 0.6891, 'learning_rate': 0.00025, 'epoch': 0.31, 'steps': 151}
{'loss': 0.6803, 'learning_rate': 0.000249, 'epoch': 0.31, 'steps': 152}
{'loss': 0.6324, 'learning_rate': 0.00024799999999999996, 'epoch': 0.31, 'steps': 153}
{'loss': 0.6362, 'learning_rate': 0.000247, 'epoch': 0.31, 'steps': 154}
{'loss': 0.5959, 'learning_rate': 0.00024599999999999996, 'epoch': 0.32, 'steps': 155}
{'loss': 0.5718, 'learning_rate': 0.000245, 'epoch': 0.32, 'steps': 156}
{'loss': 0.5731, 'learning_rate': 0.000244, 'epoch': 0.32, 'steps': 157}
{'loss': 0.5664, 'learning_rate': 0.000243, 'epoch': 0.32, 'steps': 158}
{'loss': 0.5449, 'learning_rate': 0.00024199999999999997, 'epoch': 0.32, 'steps': 159}
{'loss': 0.5506, 'learning_rate': 0.00024099999999999998, 'epoch': 0.33, 'steps': 160}
{'loss': 0.5335, 'learning_rate': 0.00023999999999999998, 'epoch': 0.33, 'steps': 161}
{'loss': 0.5387, 'learning_rate': 0.00023899999999999998, 'epoch': 0.33, 'steps': 162}
{'loss': 0.5118, 'learning_rate': 0.00023799999999999998, 'epoch': 0.33, 'steps': 163}
{'loss': 0.521, 'learning_rate': 0.000237, 'epoch': 0.33, 'steps': 164}
{'loss': 0.5276, 'learning_rate': 0.00023599999999999996, 'epoch': 0.34, 'steps': 165}
{'loss': 0.5224, 'learning_rate': 0.00023499999999999997, 'epoch': 0.34, 'steps': 166}
{'loss': 0.4991, 'learning_rate': 0.000234, 'epoch': 0.34, 'steps': 167}
{'loss': 0.4874, 'learning_rate': 0.00023299999999999997, 'epoch': 0.34, 'steps': 168}
{'loss': 0.4936, 'learning_rate': 0.00023199999999999997, 'epoch': 0.34, 'steps': 169}
{'loss': 0.4897, 'learning_rate': 0.00023099999999999998, 'epoch': 0.35, 'steps': 170}
{'loss': 0.4922, 'learning_rate': 0.00023, 'epoch': 0.35, 'steps': 171}
{'loss': 0.4848, 'learning_rate': 0.00022899999999999998, 'epoch': 0.35, 'steps': 172}
{'loss': 0.4679, 'learning_rate': 0.00022799999999999999, 'epoch': 0.35, 'steps': 173}
{'loss': 0.4511, 'learning_rate': 0.000227, 'epoch': 0.35, 'steps': 174}
{'loss': 0.4652, 'learning_rate': 0.00022599999999999996, 'epoch': 0.36, 'steps': 175}
{'loss': 0.4518, 'learning_rate': 0.000225, 'epoch': 0.36, 'steps': 176}
{'loss': 0.4483, 'learning_rate': 0.000224, 'epoch': 0.36, 'steps': 177}
{'loss': 0.4379, 'learning_rate': 0.00022299999999999997, 'epoch': 0.36, 'steps': 178}
{'loss': 0.4341, 'learning_rate': 0.00022199999999999998, 'epoch': 0.36, 'steps': 179}
{'loss': 0.4294, 'learning_rate': 0.00022099999999999998, 'epoch': 0.37, 'steps': 180}
{'loss': 0.4211, 'learning_rate': 0.00021999999999999995, 'epoch': 0.37, 'steps': 181}
{'loss': 0.4173, 'learning_rate': 0.00021899999999999998, 'epoch': 0.37, 'steps': 182}
{'loss': 0.4044, 'learning_rate': 0.00021799999999999999, 'epoch': 0.37, 'steps': 183}
{'loss': 0.3859, 'learning_rate': 0.000217, 'epoch': 0.37, 'steps': 184}
{'loss': 0.4054, 'learning_rate': 0.00021599999999999996, 'epoch': 0.38, 'steps': 185}
{'loss': 0.3784, 'learning_rate': 0.000215, 'epoch': 0.38, 'steps': 186}
{'loss': 0.3769, 'learning_rate': 0.000214, 'epoch': 0.38, 'steps': 187}
{'loss': 0.375, 'learning_rate': 0.00021299999999999997, 'epoch': 0.38, 'steps': 188}
{'loss': 0.3529, 'learning_rate': 0.00021199999999999998, 'epoch': 0.38, 'steps': 189}
{'loss': 0.3616, 'learning_rate': 0.00021099999999999998, 'epoch': 0.39, 'steps': 190}
{'loss': 0.3603, 'learning_rate': 0.00020999999999999998, 'epoch': 0.39, 'steps': 191}
{'loss': 0.339, 'learning_rate': 0.00020899999999999998, 'epoch': 0.39, 'steps': 192}
{'loss': 0.3426, 'learning_rate': 0.000208, 'epoch': 0.39, 'steps': 193}
{'loss': 0.3369, 'learning_rate': 0.00020699999999999996, 'epoch': 0.39, 'steps': 194}
{'loss': 0.3265, 'learning_rate': 0.00020599999999999997, 'epoch': 0.4, 'steps': 195}
{'loss': 0.3256, 'learning_rate': 0.000205, 'epoch': 0.4, 'steps': 196}
{'loss': 0.3255, 'learning_rate': 0.000204, 'epoch': 0.4, 'steps': 197}
{'loss': 0.3113, 'learning_rate': 0.00020299999999999997, 'epoch': 0.4, 'steps': 198}
{'loss': 0.2996, 'learning_rate': 0.00020199999999999998, 'epoch': 0.41, 'steps': 199}
{'loss': 0.3548, 'learning_rate': 0.000201, 'epoch': 0.41, 'steps': 200}
{'loss': 0.6522, 'learning_rate': 0.00019999999999999998, 'epoch': 0.41, 'steps': 201}
{'loss': 0.6495, 'learning_rate': 0.00019899999999999999, 'epoch': 0.41, 'steps': 202}
{'loss': 0.6158, 'learning_rate': 0.000198, 'epoch': 0.41, 'steps': 203}
{'loss': 0.596, 'learning_rate': 0.00019699999999999996, 'epoch': 0.42, 'steps': 204}
{'loss': 0.5611, 'learning_rate': 0.00019599999999999997, 'epoch': 0.42, 'steps': 205}
{'loss': 0.5672, 'learning_rate': 0.000195, 'epoch': 0.42, 'steps': 206}
{'loss': 0.5637, 'learning_rate': 0.00019399999999999997, 'epoch': 0.42, 'steps': 207}
{'loss': 0.5456, 'learning_rate': 0.00019299999999999997, 'epoch': 0.42, 'steps': 208}
