{'loss': 1.8352, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 2.043, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.1007, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.1431, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.1758, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.1557, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.1755, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.1838, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.1719, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.1493, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.1431, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.1413, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.1184, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.1049, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.0936, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.0596, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 1.9818, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.0105, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 1.9848, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 1.9411, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 1.9213, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 1.8935, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.8495, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.7739, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.6591, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.62, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.5468, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.4711, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.3996, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.3223, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.2267, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.1432, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.0733, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 0.9655, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 0.8635, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 0.8611, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 0.8321, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.8067, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.7431, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.7323, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
{'loss': 0.6949, 'learning_rate': 0.00012299999999999998, 'epoch': 0.08, 'steps': 41}
{'loss': 0.6696, 'learning_rate': 0.00012599999999999997, 'epoch': 0.09, 'steps': 42}
{'loss': 0.5922, 'learning_rate': 0.000129, 'epoch': 0.09, 'steps': 43}
{'loss': 0.6056, 'learning_rate': 0.00013199999999999998, 'epoch': 0.09, 'steps': 44}
{'loss': 0.6002, 'learning_rate': 0.000135, 'epoch': 0.09, 'steps': 45}
{'loss': 0.5643, 'learning_rate': 0.000138, 'epoch': 0.09, 'steps': 46}
{'loss': 0.5346, 'learning_rate': 0.00014099999999999998, 'epoch': 0.1, 'steps': 47}
