loss,learning_rate,epoch,steps
1.9281,2.9999999999999997e-06,0.0,1
2.141,5.999999999999999e-06,0.0,2
2.2127,8.999999999999999e-06,0.01,3
2.24,1.1999999999999999e-05,0.01,4
2.2868,1.4999999999999999e-05,0.01,5
2.266,1.7999999999999997e-05,0.01,6
2.2989,2.1e-05,0.01,7
2.2994,2.3999999999999997e-05,0.02,8
2.2758,2.6999999999999996e-05,0.02,9
2.2931,2.9999999999999997e-05,0.02,10
2.2669,3.2999999999999996e-05,0.02,11
2.2585,3.5999999999999994e-05,0.02,12
2.2367,3.9e-05,0.03,13
2.2266,4.2e-05,0.03,14
2.1994,4.4999999999999996e-05,0.03,15
2.1279,4.7999999999999994e-05,0.03,16
2.1168,5.1e-05,0.03,17
2.101,5.399999999999999e-05,0.04,18
2.0528,5.6999999999999996e-05,0.04,19
2.008,5.9999999999999995e-05,0.04,20
1.984,6.299999999999999e-05,0.04,21
1.9334,6.599999999999999e-05,0.04,22
1.8722,6.9e-05,0.05,23
1.7986,7.199999999999999e-05,0.05,24
1.6849,7.5e-05,0.05,25
1.6661,7.8e-05,0.05,26
1.5742,8.1e-05,0.05,27
1.4957,8.4e-05,0.06,28
1.4072,8.699999999999999e-05,0.06,29
1.3348,8.999999999999999e-05,0.06,30
1.2287,9.3e-05,0.06,31
1.156,9.599999999999999e-05,0.07,32
1.0887,9.9e-05,0.07,33
0.9379,0.000102,0.07,34
0.9144,0.00010499999999999999,0.07,35
0.9196,0.00010799999999999998,0.07,36
0.8605,0.00011099999999999999,0.08,37
0.8265,0.00011399999999999999,0.08,38
0.8057,0.000117,0.08,39
0.7631,0.00011999999999999999,0.08,40
0.7432,0.00012299999999999998,0.08,41
0.7224,0.00012599999999999997,0.09,42
0.6073,0.000129,0.09,43
0.6602,0.00013199999999999998,0.09,44
0.6372,0.000135,0.09,45
0.5902,0.000138,0.09,46
0.5552,0.00014099999999999998,0.1,47
0.5054,0.00014399999999999998,0.1,48
0.4705,0.000147,0.1,49
0.5427,0.00015,0.1,50
0.9413,0.00015299999999999998,0.1,51
0.8834,0.000156,0.11,52
0.8486,0.000159,0.11,53
0.7836,0.000162,0.11,54
0.7836,0.000165,0.11,55
0.7799,0.000168,0.11,56
0.731,0.00017099999999999998,0.12,57
0.7506,0.00017399999999999997,0.12,58
0.7436,0.00017699999999999997,0.12,59
0.6943,0.00017999999999999998,0.12,60
0.6664,0.00018299999999999998,0.12,61
0.6965,0.000186,0.13,62
0.6826,0.00018899999999999999,0.13,63
0.6574,0.00019199999999999998,0.13,64
0.6518,0.000195,0.13,65
0.6354,0.000198,0.13,66
