{'loss': 1.8307, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 2.0363, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.103, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.1259, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.1774, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.1511, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.1792, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.1787, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.1562, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.17, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.1454, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.1353, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.1125, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.1074, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.0854, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.0202, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 2.017, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.0125, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 1.9801, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 1.9447, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 1.9255, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 1.883, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.8245, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.7541, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.6459, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.6258, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.5384, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.4631, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.3806, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.3171, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.2093, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.1301, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.0596, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 0.9081, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 0.8859, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 0.8761, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 0.8152, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.7823, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.7579, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.7187, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
{'loss': 0.6909, 'learning_rate': 0.00012299999999999998, 'epoch': 0.08, 'steps': 41}
{'loss': 0.6714, 'learning_rate': 0.00012599999999999997, 'epoch': 0.09, 'steps': 42}
{'loss': 0.5585, 'learning_rate': 0.000129, 'epoch': 0.09, 'steps': 43}
{'loss': 0.6141, 'learning_rate': 0.00013199999999999998, 'epoch': 0.09, 'steps': 44}
{'loss': 0.5967, 'learning_rate': 0.000135, 'epoch': 0.09, 'steps': 45}
{'loss': 0.556, 'learning_rate': 0.000138, 'epoch': 0.09, 'steps': 46}
{'loss': 0.5416, 'learning_rate': 0.00014099999999999998, 'epoch': 0.1, 'steps': 47}
{'loss': 0.5054, 'learning_rate': 0.00014399999999999998, 'epoch': 0.1, 'steps': 48}
{'loss': 0.4533, 'learning_rate': 0.000147, 'epoch': 0.1, 'steps': 49}
{'loss': 0.5218, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 50}
{'loss': 0.9167, 'learning_rate': 0.00015299999999999998, 'epoch': 0.1, 'steps': 51}
{'loss': 0.8677, 'learning_rate': 0.000156, 'epoch': 0.11, 'steps': 52}
{'loss': 0.8353, 'learning_rate': 0.000159, 'epoch': 0.11, 'steps': 53}
{'loss': 0.7691, 'learning_rate': 0.000162, 'epoch': 0.11, 'steps': 54}
{'loss': 0.7689, 'learning_rate': 0.000165, 'epoch': 0.11, 'steps': 55}
{'loss': 0.7703, 'learning_rate': 0.000168, 'epoch': 0.11, 'steps': 56}
{'loss': 0.725, 'learning_rate': 0.00017099999999999998, 'epoch': 0.12, 'steps': 57}
{'loss': 0.7446, 'learning_rate': 0.00017399999999999997, 'epoch': 0.12, 'steps': 58}
{'loss': 0.7366, 'learning_rate': 0.00017699999999999997, 'epoch': 0.12, 'steps': 59}
