loss,learning_rate,epoch,steps
1.8062,2.9999999999999997e-06,0.0,1
2.0172,5.999999999999999e-06,0.0,2
2.0663,8.999999999999999e-06,0.01,3
2.126,1.1999999999999999e-05,0.01,4
2.1465,1.4999999999999999e-05,0.01,5
2.1409,1.7999999999999997e-05,0.01,6
2.1714,2.1e-05,0.01,7
2.1853,2.3999999999999997e-05,0.02,8
2.1782,2.6999999999999996e-05,0.02,9
2.1638,2.9999999999999997e-05,0.02,10
2.1775,3.2999999999999996e-05,0.02,11
2.1712,3.5999999999999994e-05,0.02,12
2.1554,3.9e-05,0.03,13
2.1513,4.2e-05,0.03,14
2.1377,4.4999999999999996e-05,0.03,15
2.1175,4.7999999999999994e-05,0.03,16
2.0713,5.1e-05,0.03,17
2.0816,5.399999999999999e-05,0.04,18
2.0526,5.6999999999999996e-05,0.04,19
2.0014,5.9999999999999995e-05,0.04,20
1.9826,6.299999999999999e-05,0.04,21
1.9487,6.599999999999999e-05,0.04,22
1.9158,6.9e-05,0.05,23
1.8512,7.199999999999999e-05,0.05,24
1.7902,7.5e-05,0.05,25
1.7737,7.8e-05,0.05,26
1.73,8.1e-05,0.05,27
1.6846,8.4e-05,0.06,28
1.6292,8.699999999999999e-05,0.06,29
1.5674,8.999999999999999e-05,0.06,30
1.4805,9.3e-05,0.06,31
1.4109,9.599999999999999e-05,0.07,32
1.3414,9.9e-05,0.07,33
1.2191,0.000102,0.07,34
1.1086,0.00010499999999999999,0.07,35
1.0571,0.00010799999999999998,0.07,36
0.9841,0.00011099999999999999,0.08,37
0.8974,0.00011399999999999999,0.08,38
0.816,0.000117,0.08,39
0.7769,0.00011999999999999999,0.08,40
0.7164,0.00012299999999999998,0.08,41
0.6632,0.00012599999999999997,0.09,42
0.596,0.000129,0.09,43
0.5921,0.00013199999999999998,0.09,44
0.5864,0.000135,0.09,45
0.562,0.000138,0.09,46
0.5333,0.00014099999999999998,0.1,47
0.524,0.00014399999999999998,0.1,48
0.4973,0.000147,0.1,49
0.5438,0.00015,0.1,50
0.8755,0.00015,0.1,51
0.8914,0.00015299999999999998,0.11,52
0.8808,0.000156,0.11,53
0.8428,0.000159,0.11,54
0.8132,0.000162,0.11,55
0.8069,0.000165,0.11,56
0.7878,0.000168,0.12,57
0.7576,0.00017099999999999998,0.12,58
0.7329,0.00017399999999999997,0.12,59
0.7932,0.00017699999999999997,0.12,60
0.7806,0.00017999999999999998,0.12,61
0.8127,0.00018299999999999998,0.13,62
0.761,0.000186,0.13,63
0.6785,0.00018899999999999999,0.13,64
0.6687,0.00019199999999999998,0.13,65
0.69,0.000195,0.13,66
0.6481,0.000198,0.14,67
0.6461,0.000201,0.14,68
0.6418,0.000204,0.14,69
0.6301,0.00020699999999999996,0.14,70
0.6018,0.00020999999999999998,0.14,71
0.5823,0.00021299999999999997,0.15,72
0.5843,0.00021599999999999996,0.15,73
0.5858,0.00021899999999999998,0.15,74
0.5782,0.00022199999999999998,0.15,75
0.5678,0.000225,0.15,76
0.5447,0.00022799999999999999,0.16,77
0.5449,0.00023099999999999998,0.16,78
0.5426,0.000234,0.16,79
0.5202,0.000237,0.16,80
0.5104,0.00023999999999999998,0.16,81
0.5126,0.000243,0.17,82
0.4868,0.00024599999999999996,0.17,83
0.4736,0.000249,0.17,84
0.463,0.00025199999999999995,0.17,85
0.4336,0.00025499999999999996,0.18,86
0.4524,0.000258,0.18,87
0.4182,0.000261,0.18,88
0.4138,0.00026399999999999997,0.18,89
0.3993,0.000267,0.18,90
0.4043,0.00027,0.19,91
0.3881,0.00027299999999999997,0.19,92
0.3856,0.000276,0.19,93
0.3465,0.000279,0.19,94
0.343,0.00028199999999999997,0.19,95
0.3516,0.000285,0.2,96
0.3295,0.00028799999999999995,0.2,97
0.3436,0.00029099999999999997,0.2,98
0.3047,0.000294,0.2,99
0.3694,0.00029699999999999996,0.2,100
0.7477,0.0003,0.21,101
0.7107,0.000299,0.21,102
0.6776,0.000298,0.21,103
0.6655,0.00029699999999999996,0.21,104
0.6351,0.000296,0.21,105
0.6254,0.00029499999999999996,0.22,106
0.6309,0.000294,0.22,107
0.6231,0.00029299999999999997,0.22,108
0.6042,0.000292,0.22,109
0.5832,0.00029099999999999997,0.22,110
0.5702,0.00029,0.23,111
0.5558,0.000289,0.23,112
0.5407,0.00028799999999999995,0.23,113
0.5487,0.000287,0.23,114
0.5544,0.00028599999999999996,0.23,115
0.536,0.000285,0.24,116
0.5378,0.00028399999999999996,0.24,117
0.5302,0.000283,0.24,118
0.5176,0.00028199999999999997,0.24,119
0.5126,0.00028099999999999995,0.24,120
0.5,0.00028,0.25,121
0.4898,0.000279,0.25,122
0.4886,0.000278,0.25,123
0.4916,0.00027699999999999996,0.25,124
0.469,0.000276,0.25,125
0.486,0.00027499999999999996,0.26,126
0.4694,0.000274,0.26,127
0.4544,0.00027299999999999997,0.26,128
0.4596,0.00027199999999999994,0.26,129
0.4327,0.000271,0.26,130
0.4366,0.00027,0.27,131
0.4087,0.000269,0.27,132
0.4296,0.00026799999999999995,0.27,133
0.4238,0.000267,0.27,134
0.4039,0.000266,0.27,135
0.4146,0.000265,0.28,136
0.3833,0.00026399999999999997,0.28,137
0.3894,0.000263,0.28,138
0.3741,0.00026199999999999997,0.28,139
0.3799,0.000261,0.28,140
0.3919,0.00026,0.29,141
0.3803,0.00025899999999999995,0.29,142
0.344,0.000258,0.29,143
0.3459,0.00025699999999999996,0.29,144
0.3404,0.000256,0.3,145
0.3371,0.00025499999999999996,0.3,146
0.3196,0.000254,0.3,147
0.3049,0.00025299999999999997,0.3,148
0.3088,0.00025199999999999995,0.3,149
0.3681,0.000251,0.31,150
0.6891,0.00025,0.31,151
0.6803,0.000249,0.31,152
0.6324,0.00024799999999999996,0.31,153
0.6362,0.000247,0.31,154
0.5959,0.00024599999999999996,0.32,155
0.5718,0.000245,0.32,156
0.5731,0.000244,0.32,157
0.5664,0.000243,0.32,158
0.5449,0.00024199999999999997,0.32,159
0.5506,0.00024099999999999998,0.33,160
0.5335,0.00023999999999999998,0.33,161
0.5387,0.00023899999999999998,0.33,162
0.5118,0.00023799999999999998,0.33,163
0.521,0.000237,0.33,164
0.5276,0.00023599999999999996,0.34,165
0.5224,0.00023499999999999997,0.34,166
0.4991,0.000234,0.34,167
0.4874,0.00023299999999999997,0.34,168
0.4936,0.00023199999999999997,0.34,169
0.4897,0.00023099999999999998,0.35,170
0.4922,0.00023,0.35,171
0.4848,0.00022899999999999998,0.35,172
0.4679,0.00022799999999999999,0.35,173
0.4511,0.000227,0.35,174
0.4652,0.00022599999999999996,0.36,175
0.4518,0.000225,0.36,176
0.4483,0.000224,0.36,177
0.4379,0.00022299999999999997,0.36,178
0.4341,0.00022199999999999998,0.36,179
0.4294,0.00022099999999999998,0.37,180
0.4211,0.00021999999999999995,0.37,181
0.4173,0.00021899999999999998,0.37,182
0.4044,0.00021799999999999999,0.37,183
0.3859,0.000217,0.37,184
0.4054,0.00021599999999999996,0.38,185
0.3784,0.000215,0.38,186
0.3769,0.000214,0.38,187
0.375,0.00021299999999999997,0.38,188
0.3529,0.00021199999999999998,0.38,189
0.3616,0.00021099999999999998,0.39,190
0.3603,0.00020999999999999998,0.39,191
0.339,0.00020899999999999998,0.39,192
0.3426,0.000208,0.39,193
0.3369,0.00020699999999999996,0.39,194
0.3265,0.00020599999999999997,0.4,195
0.3256,0.000205,0.4,196
0.3255,0.000204,0.4,197
0.3113,0.00020299999999999997,0.4,198
0.2996,0.00020199999999999998,0.41,199
0.3548,0.000201,0.41,200
0.6522,0.00019999999999999998,0.41,201
0.6495,0.00019899999999999999,0.41,202
0.6158,0.000198,0.41,203
0.596,0.00019699999999999996,0.42,204
0.5611,0.00019599999999999997,0.42,205
0.5672,0.000195,0.42,206
0.5637,0.00019399999999999997,0.42,207
0.5456,0.00019299999999999997,0.42,208
0.5225,0.00019199999999999998,0.43,209
0.5373,0.000191,0.43,210
0.5432,0.00018999999999999998,0.43,211
0.5118,0.00018899999999999999,0.43,212
0.5172,0.000188,0.43,213
0.5077,0.00018699999999999996,0.44,214
0.5022,0.000186,0.44,215
0.4866,0.000185,0.44,216
0.499,0.00018399999999999997,0.44,217
0.4704,0.00018299999999999998,0.44,218
0.4759,0.00018199999999999998,0.45,219
0.4839,0.000181,0.45,220
0.4618,0.00017999999999999998,0.45,221
0.4621,0.000179,0.45,222
0.4503,0.000178,0.45,223
0.4497,0.00017699999999999997,0.46,224
0.4428,0.000176,0.46,225
0.4438,0.000175,0.46,226
0.4433,0.00017399999999999997,0.46,227
0.4285,0.00017299999999999998,0.46,228
0.4269,0.000172,0.47,229
0.4191,0.00017099999999999998,0.47,230
0.4026,0.00016999999999999999,0.47,231
0.3917,0.000169,0.47,232
0.3951,0.000168,0.47,233
0.3998,0.00016699999999999997,0.48,234
0.3758,0.000166,0.48,235
0.3855,0.000165,0.48,236
0.3634,0.00016399999999999997,0.48,237
0.3778,0.00016299999999999998,0.48,238
0.3484,0.000162,0.49,239
0.3665,0.00016099999999999998,0.49,240
0.3562,0.00015999999999999999,0.49,241
0.335,0.000159,0.49,242
0.328,0.00015799999999999996,0.49,243
0.3454,0.000157,0.5,244
0.3204,0.000156,0.5,245
0.3146,0.000155,0.5,246
0.3075,0.00015399999999999998,0.5,247
0.3005,0.00015299999999999998,0.5,248
0.3049,0.000152,0.51,249
0.3388,0.00015099999999999998,0.51,250
0.6379,0.00015,0.51,251
0.6216,0.000149,0.51,252
0.6208,0.000148,0.52,253
0.5796,0.000147,0.52,254
0.5522,0.000146,0.52,255
0.5594,0.000145,0.52,256
0.5494,0.00014399999999999998,0.52,257
0.5379,0.00014299999999999998,0.53,258
0.5404,0.00014199999999999998,0.53,259
0.5404,0.00014099999999999998,0.53,260
0.5158,0.00014,0.53,261
0.5099,0.000139,0.53,262
0.5134,0.000138,0.54,263
0.4739,0.000137,0.54,264
0.4873,0.00013599999999999997,0.54,265
0.4703,0.000135,0.54,266
0.4862,0.00013399999999999998,0.54,267
0.4588,0.000133,0.55,268
0.4713,0.00013199999999999998,0.55,269
0.4698,0.00013099999999999999,0.55,270
0.4513,0.00013,0.55,271
0.4757,0.000129,0.55,272
0.4491,0.000128,0.56,273
0.4368,0.000127,0.56,274
0.4438,0.00012599999999999997,0.56,275
0.4364,0.000125,0.56,276
0.4273,0.00012399999999999998,0.56,277
0.4383,0.00012299999999999998,0.57,278
0.4198,0.000122,0.57,279
0.4077,0.00012099999999999999,0.57,280
0.4078,0.00011999999999999999,0.57,281
0.4076,0.00011899999999999999,0.57,282
0.4136,0.00011799999999999998,0.58,283
0.388,0.000117,0.58,284
0.3821,0.00011599999999999999,0.58,285
0.3754,0.000115,0.58,286
0.3784,0.00011399999999999999,0.58,287
0.3467,0.00011299999999999998,0.59,288
0.3598,0.000112,0.59,289
0.3391,0.00011099999999999999,0.59,290
0.3363,0.00010999999999999998,0.59,291
0.3304,0.00010899999999999999,0.59,292
0.3324,0.00010799999999999998,0.6,293
0.3328,0.000107,0.6,294
0.3196,0.00010599999999999999,0.6,295
0.3046,0.00010499999999999999,0.6,296
0.3119,0.000104,0.6,297
0.3056,0.00010299999999999998,0.61,298
0.2944,0.000102,0.61,299
0.3332,0.00010099999999999999,0.61,300
0.6202,9.999999999999999e-05,0.61,301
0.6057,9.9e-05,0.61,302
0.6135,9.799999999999998e-05,0.62,303
0.553,9.699999999999999e-05,0.62,304
0.5501,9.599999999999999e-05,0.62,305
0.5512,9.499999999999999e-05,0.62,306
0.5384,9.4e-05,0.62,307
0.5265,9.3e-05,0.63,308
0.513,9.199999999999999e-05,0.63,309
0.5166,9.099999999999999e-05,0.63,310
0.5095,8.999999999999999e-05,0.63,311
0.5023,8.9e-05,0.64,312
0.4878,8.8e-05,0.64,313
0.49,8.699999999999999e-05,0.64,314
0.4893,8.6e-05,0.64,315
0.4836,8.499999999999999e-05,0.64,316
0.4777,8.4e-05,0.65,317
0.469,8.3e-05,0.65,318
0.4744,8.199999999999999e-05,0.65,319
0.4682,8.1e-05,0.65,320
0.435,7.999999999999999e-05,0.65,321
0.4542,7.899999999999998e-05,0.66,322
0.4468,7.8e-05,0.66,323
0.4448,7.699999999999999e-05,0.66,324
0.4282,7.6e-05,0.66,325
0.4093,7.5e-05,0.66,326
0.4203,7.4e-05,0.67,327
0.4219,7.3e-05,0.67,328
0.3961,7.199999999999999e-05,0.67,329
0.4045,7.099999999999999e-05,0.67,330
0.4048,7e-05,0.67,331
0.4103,6.9e-05,0.68,332
0.3875,6.799999999999999e-05,0.68,333
0.3854,6.699999999999999e-05,0.68,334
0.36,6.599999999999999e-05,0.68,335
0.3636,6.5e-05,0.68,336
0.3651,6.4e-05,0.69,337
0.3487,6.299999999999999e-05,0.69,338
0.3512,6.199999999999999e-05,0.69,339
0.3349,6.1e-05,0.69,340
0.3434,5.9999999999999995e-05,0.69,341
0.3336,5.899999999999999e-05,0.7,342
0.3245,5.7999999999999994e-05,0.7,343
0.3177,5.6999999999999996e-05,0.7,344
0.3268,5.6e-05,0.7,345
0.3037,5.499999999999999e-05,0.7,346
0.2888,5.399999999999999e-05,0.71,347
0.3049,5.2999999999999994e-05,0.71,348
0.2859,5.2e-05,0.71,349
0.3296,5.1e-05,0.71,350
0.6039,4.9999999999999996e-05,0.71,351
0.606,4.899999999999999e-05,0.72,352
0.5512,4.7999999999999994e-05,0.72,353
0.5529,4.7e-05,0.72,354
0.5529,4.599999999999999e-05,0.72,355
0.5346,4.4999999999999996e-05,0.72,356
0.5283,4.4e-05,0.73,357
0.5296,4.3e-05,0.73,358
0.5163,4.2e-05,0.73,359
0.4946,4.0999999999999994e-05,0.73,360
0.4792,3.9999999999999996e-05,0.73,361
0.4881,3.9e-05,0.74,362
0.4813,3.8e-05,0.74,363
0.4783,3.7e-05,0.74,364
0.4767,3.5999999999999994e-05,0.74,365
0.4723,3.5e-05,0.75,366
0.482,3.399999999999999e-05,0.75,367
0.464,3.2999999999999996e-05,0.75,368
0.4684,3.2e-05,0.75,369
0.4399,3.0999999999999995e-05,0.75,370
0.4358,2.9999999999999997e-05,0.76,371
0.4512,2.8999999999999997e-05,0.76,372
0.4601,2.8e-05,0.76,373
0.4446,2.6999999999999996e-05,0.76,374
0.4219,2.6e-05,0.76,375
0.4202,2.4999999999999998e-05,0.77,376
0.4152,2.3999999999999997e-05,0.77,377
0.4063,2.2999999999999997e-05,0.77,378
0.4158,2.2e-05,0.77,379
0.3977,2.1e-05,0.77,380
0.3834,1.9999999999999998e-05,0.78,381
0.3892,1.9e-05,0.78,382
0.3835,1.7999999999999997e-05,0.78,383
0.3587,1.6999999999999996e-05,0.78,384
0.3594,1.6e-05,0.78,385
0.3575,1.4999999999999999e-05,0.79,386
0.354,1.4e-05,0.79,387
0.3608,1.3e-05,0.79,388
0.3517,1.1999999999999999e-05,0.79,389
0.3491,1.1e-05,0.79,390
0.3416,9.999999999999999e-06,0.8,391
0.3351,8.999999999999999e-06,0.8,392
0.3337,8e-06,0.8,393
0.3386,7e-06,0.8,394
0.3223,5.999999999999999e-06,0.8,395
0.3193,4.9999999999999996e-06,0.81,396
0.3044,4e-06,0.81,397
0.3028,2.9999999999999997e-06,0.81,398
0.2985,2e-06,0.81,399
0.3514,1e-06,0.81,400
