{'loss': 1.8082, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 2.0242, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.0894, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.1075, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.1539, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.1452, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.1742, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.1923, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.1927, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.1646, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.1774, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.1757, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.1713, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.1452, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.1442, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.1254, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 2.0947, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.055, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 2.0428, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 2.0112, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 1.9808, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 1.9377, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.9151, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.8576, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.813, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.7488, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.7446, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.6792, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.6322, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.5665, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.4994, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.4073, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.3286, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 1.2364, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 1.1064, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 1.0575, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 0.9851, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.9018, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.8294, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.7808, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
{'loss': 0.7233, 'learning_rate': 0.00012299999999999998, 'epoch': 0.08, 'steps': 41}
{'loss': 0.6699, 'learning_rate': 0.00012599999999999997, 'epoch': 0.09, 'steps': 42}
{'loss': 0.5987, 'learning_rate': 0.000129, 'epoch': 0.09, 'steps': 43}
{'loss': 0.5833, 'learning_rate': 0.00013199999999999998, 'epoch': 0.09, 'steps': 44}
{'loss': 0.5873, 'learning_rate': 0.000135, 'epoch': 0.09, 'steps': 45}
{'loss': 0.566, 'learning_rate': 0.000138, 'epoch': 0.09, 'steps': 46}
{'loss': 0.5369, 'learning_rate': 0.00014099999999999998, 'epoch': 0.1, 'steps': 47}
{'loss': 0.521, 'learning_rate': 0.00014399999999999998, 'epoch': 0.1, 'steps': 48}
{'loss': 0.507, 'learning_rate': 0.000147, 'epoch': 0.1, 'steps': 49}
{'loss': 0.5478, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 50}
{'loss': 0.8772, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 51}
{'loss': 0.9246, 'learning_rate': 0.00015299999999999998, 'epoch': 0.11, 'steps': 52}
{'loss': 0.9028, 'learning_rate': 0.000156, 'epoch': 0.11, 'steps': 53}
{'loss': 0.8919, 'learning_rate': 0.000159, 'epoch': 0.11, 'steps': 54}
{'loss': 0.8261, 'learning_rate': 0.000162, 'epoch': 0.11, 'steps': 55}
{'loss': 0.8187, 'learning_rate': 0.000165, 'epoch': 0.11, 'steps': 56}
{'loss': 0.7969, 'learning_rate': 0.000168, 'epoch': 0.12, 'steps': 57}
{'loss': 0.7718, 'learning_rate': 0.00017099999999999998, 'epoch': 0.12, 'steps': 58}
{'loss': 0.744, 'learning_rate': 0.00017399999999999997, 'epoch': 0.12, 'steps': 59}
{'loss': 0.8755, 'learning_rate': 0.00017699999999999997, 'epoch': 0.12, 'steps': 60}
{'loss': 0.8354, 'learning_rate': 0.00017999999999999998, 'epoch': 0.12, 'steps': 61}
{'loss': 0.7756, 'learning_rate': 0.00018299999999999998, 'epoch': 0.13, 'steps': 62}
{'loss': 0.7171, 'learning_rate': 0.000186, 'epoch': 0.13, 'steps': 63}
{'loss': 0.7003, 'learning_rate': 0.00018899999999999999, 'epoch': 0.13, 'steps': 64}
{'loss': 0.6626, 'learning_rate': 0.00019199999999999998, 'epoch': 0.13, 'steps': 65}
{'loss': 0.6694, 'learning_rate': 0.000195, 'epoch': 0.13, 'steps': 66}
{'loss': 0.6457, 'learning_rate': 0.000198, 'epoch': 0.14, 'steps': 67}
{'loss': 0.6456, 'learning_rate': 0.000201, 'epoch': 0.14, 'steps': 68}
{'loss': 0.6406, 'learning_rate': 0.000204, 'epoch': 0.14, 'steps': 69}
{'loss': 0.6296, 'learning_rate': 0.00020699999999999996, 'epoch': 0.14, 'steps': 70}
{'loss': 0.6104, 'learning_rate': 0.00020999999999999998, 'epoch': 0.14, 'steps': 71}
{'loss': 0.5765, 'learning_rate': 0.00021299999999999997, 'epoch': 0.15, 'steps': 72}
{'loss': 0.5921, 'learning_rate': 0.00021599999999999996, 'epoch': 0.15, 'steps': 73}
{'loss': 0.5769, 'learning_rate': 0.00021899999999999998, 'epoch': 0.15, 'steps': 74}
{'loss': 0.5755, 'learning_rate': 0.00022199999999999998, 'epoch': 0.15, 'steps': 75}
{'loss': 0.5754, 'learning_rate': 0.000225, 'epoch': 0.15, 'steps': 76}
{'loss': 0.5374, 'learning_rate': 0.00022799999999999999, 'epoch': 0.16, 'steps': 77}
{'loss': 0.5505, 'learning_rate': 0.00023099999999999998, 'epoch': 0.16, 'steps': 78}
{'loss': 0.5379, 'learning_rate': 0.000234, 'epoch': 0.16, 'steps': 79}
{'loss': 0.534, 'learning_rate': 0.000237, 'epoch': 0.16, 'steps': 80}
{'loss': 0.519, 'learning_rate': 0.00023999999999999998, 'epoch': 0.16, 'steps': 81}
{'loss': 0.5173, 'learning_rate': 0.000243, 'epoch': 0.17, 'steps': 82}
{'loss': 0.5094, 'learning_rate': 0.00024599999999999996, 'epoch': 0.17, 'steps': 83}
{'loss': 0.4871, 'learning_rate': 0.000249, 'epoch': 0.17, 'steps': 84}
{'loss': 0.4742, 'learning_rate': 0.00025199999999999995, 'epoch': 0.17, 'steps': 85}
{'loss': 0.4606, 'learning_rate': 0.00025499999999999996, 'epoch': 0.18, 'steps': 86}
{'loss': 0.4592, 'learning_rate': 0.000258, 'epoch': 0.18, 'steps': 87}
{'loss': 0.4634, 'learning_rate': 0.000261, 'epoch': 0.18, 'steps': 88}
{'loss': 0.4599, 'learning_rate': 0.00026399999999999997, 'epoch': 0.18, 'steps': 89}
{'loss': 0.4404, 'learning_rate': 0.000267, 'epoch': 0.18, 'steps': 90}
{'loss': 0.435, 'learning_rate': 0.00027, 'epoch': 0.19, 'steps': 91}
{'loss': 0.4203, 'learning_rate': 0.00027299999999999997, 'epoch': 0.19, 'steps': 92}
{'loss': 0.4216, 'learning_rate': 0.000276, 'epoch': 0.19, 'steps': 93}
{'loss': 0.3874, 'learning_rate': 0.000279, 'epoch': 0.19, 'steps': 94}
{'loss': 0.3762, 'learning_rate': 0.00028199999999999997, 'epoch': 0.19, 'steps': 95}
{'loss': 0.3874, 'learning_rate': 0.000285, 'epoch': 0.2, 'steps': 96}
{'loss': 0.3661, 'learning_rate': 0.00028799999999999995, 'epoch': 0.2, 'steps': 97}
{'loss': 0.3668, 'learning_rate': 0.00029099999999999997, 'epoch': 0.2, 'steps': 98}
{'loss': 0.3313, 'learning_rate': 0.000294, 'epoch': 0.2, 'steps': 99}
{'loss': 0.391, 'learning_rate': 0.00029699999999999996, 'epoch': 0.2, 'steps': 100}
{'loss': 0.7622, 'learning_rate': 0.0003, 'epoch': 0.21, 'steps': 101}
{'loss': 0.7382, 'learning_rate': 0.000299, 'epoch': 0.21, 'steps': 102}
{'loss': 0.6926, 'learning_rate': 0.000298, 'epoch': 0.21, 'steps': 103}
{'loss': 0.6737, 'learning_rate': 0.00029699999999999996, 'epoch': 0.21, 'steps': 104}
{'loss': 0.6352, 'learning_rate': 0.000296, 'epoch': 0.21, 'steps': 105}
{'loss': 0.6268, 'learning_rate': 0.00029499999999999996, 'epoch': 0.22, 'steps': 106}
{'loss': 0.6359, 'learning_rate': 0.000294, 'epoch': 0.22, 'steps': 107}
{'loss': 0.6281, 'learning_rate': 0.00029299999999999997, 'epoch': 0.22, 'steps': 108}
{'loss': 0.6115, 'learning_rate': 0.000292, 'epoch': 0.22, 'steps': 109}
{'loss': 0.5692, 'learning_rate': 0.00029099999999999997, 'epoch': 0.22, 'steps': 110}
{'loss': 0.5728, 'learning_rate': 0.00029, 'epoch': 0.23, 'steps': 111}
{'loss': 0.568, 'learning_rate': 0.000289, 'epoch': 0.23, 'steps': 112}
{'loss': 0.5467, 'learning_rate': 0.00028799999999999995, 'epoch': 0.23, 'steps': 113}
{'loss': 0.5463, 'learning_rate': 0.000287, 'epoch': 0.23, 'steps': 114}
{'loss': 0.548, 'learning_rate': 0.00028599999999999996, 'epoch': 0.23, 'steps': 115}
{'loss': 0.5404, 'learning_rate': 0.000285, 'epoch': 0.24, 'steps': 116}
{'loss': 0.5463, 'learning_rate': 0.00028399999999999996, 'epoch': 0.24, 'steps': 117}
{'loss': 0.5249, 'learning_rate': 0.000283, 'epoch': 0.24, 'steps': 118}
{'loss': 0.5441, 'learning_rate': 0.00028199999999999997, 'epoch': 0.24, 'steps': 119}
{'loss': 0.4975, 'learning_rate': 0.00028099999999999995, 'epoch': 0.24, 'steps': 120}
{'loss': 0.5085, 'learning_rate': 0.00028, 'epoch': 0.25, 'steps': 121}
{'loss': 0.4902, 'learning_rate': 0.000279, 'epoch': 0.25, 'steps': 122}
{'loss': 0.4851, 'learning_rate': 0.000278, 'epoch': 0.25, 'steps': 123}
{'loss': 0.4943, 'learning_rate': 0.00027699999999999996, 'epoch': 0.25, 'steps': 124}
{'loss': 0.4823, 'learning_rate': 0.000276, 'epoch': 0.25, 'steps': 125}
{'loss': 0.4787, 'learning_rate': 0.00027499999999999996, 'epoch': 0.26, 'steps': 126}
{'loss': 0.4845, 'learning_rate': 0.000274, 'epoch': 0.26, 'steps': 127}
{'loss': 0.4703, 'learning_rate': 0.00027299999999999997, 'epoch': 0.26, 'steps': 128}
{'loss': 0.4615, 'learning_rate': 0.00027199999999999994, 'epoch': 0.26, 'steps': 129}
{'loss': 0.4655, 'learning_rate': 0.000271, 'epoch': 0.26, 'steps': 130}
