{'loss': 1.8913, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 2.1197, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.186, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.2224, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.2666, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.2518, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.2996, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.3017, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.2868, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.3112, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.3019, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.2934, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.2756, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.2708, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.2574, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.2043, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 2.2045, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.1801, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 2.1293, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 2.0932, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 2.0723, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 2.0402, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.9843, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.9371, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.8631, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.8553, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.8039, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.7533, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.7024, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.6458, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.5615, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.4955, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.4254, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 1.2917, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 1.2272, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 1.1758, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 1.0737, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.9811, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.9209, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.8476, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
{'loss': 0.8039, 'learning_rate': 0.00012299999999999998, 'epoch': 0.08, 'steps': 41}
{'loss': 0.7585, 'learning_rate': 0.00012599999999999997, 'epoch': 0.09, 'steps': 42}
{'loss': 0.6485, 'learning_rate': 0.000129, 'epoch': 0.09, 'steps': 43}
{'loss': 0.645, 'learning_rate': 0.00013199999999999998, 'epoch': 0.09, 'steps': 44}
{'loss': 0.622, 'learning_rate': 0.000135, 'epoch': 0.09, 'steps': 45}
{'loss': 0.5903, 'learning_rate': 0.000138, 'epoch': 0.09, 'steps': 46}
{'loss': 0.5733, 'learning_rate': 0.00014099999999999998, 'epoch': 0.1, 'steps': 47}
{'loss': 0.5418, 'learning_rate': 0.00014399999999999998, 'epoch': 0.1, 'steps': 48}
{'loss': 0.5064, 'learning_rate': 0.000147, 'epoch': 0.1, 'steps': 49}
{'loss': 0.5303, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 50}
{'loss': 0.9045, 'learning_rate': 0.00015299999999999998, 'epoch': 0.1, 'steps': 51}
{'loss': 0.9179, 'learning_rate': 0.000156, 'epoch': 0.11, 'steps': 52}
{'loss': 0.8919, 'learning_rate': 0.000156, 'epoch': 0.11, 'steps': 53}
{'loss': 0.8502, 'learning_rate': 0.000159, 'epoch': 0.11, 'steps': 54}
{'loss': 0.8352, 'learning_rate': 0.000162, 'epoch': 0.11, 'steps': 55}
{'loss': 0.8163, 'learning_rate': 0.000165, 'epoch': 0.11, 'steps': 56}
{'loss': 0.7842, 'learning_rate': 0.000168, 'epoch': 0.12, 'steps': 57}
{'loss': 0.7768, 'learning_rate': 0.00017099999999999998, 'epoch': 0.12, 'steps': 58}
{'loss': 0.7679, 'learning_rate': 0.00017399999999999997, 'epoch': 0.12, 'steps': 59}
{'loss': 0.7381, 'learning_rate': 0.00017699999999999997, 'epoch': 0.12, 'steps': 60}
{'loss': 0.7177, 'learning_rate': 0.00017999999999999998, 'epoch': 0.12, 'steps': 61}
{'loss': 0.7146, 'learning_rate': 0.00018299999999999998, 'epoch': 0.13, 'steps': 62}
{'loss': 0.713, 'learning_rate': 0.000186, 'epoch': 0.13, 'steps': 63}
{'loss': 0.6848, 'learning_rate': 0.00018899999999999999, 'epoch': 0.13, 'steps': 64}
{'loss': 0.6803, 'learning_rate': 0.00019199999999999998, 'epoch': 0.13, 'steps': 65}
{'loss': 0.663, 'learning_rate': 0.000195, 'epoch': 0.13, 'steps': 66}
{'loss': 0.6601, 'learning_rate': 0.000198, 'epoch': 0.14, 'steps': 67}
