loss,learning_rate,epoch,steps
1.8025,2.9999999999999997e-06,0.0,1
2.0139,5.999999999999999e-06,0.0,2
2.0773,8.999999999999999e-06,0.01,3
2.1099,1.1999999999999999e-05,0.01,4
2.1501,1.4999999999999999e-05,0.01,5
2.1353,1.7999999999999997e-05,0.01,6
2.1792,2.1e-05,0.01,7
2.1824,2.3999999999999997e-05,0.02,8
2.1672,2.6999999999999996e-05,0.02,9
2.1897,2.9999999999999997e-05,0.02,10
2.183,3.2999999999999996e-05,0.02,11
2.1718,3.5999999999999994e-05,0.02,12
2.1537,3.9e-05,0.03,13
2.1544,4.2e-05,0.03,14
2.1419,4.4999999999999996e-05,0.03,15
2.0971,4.7999999999999994e-05,0.03,16
2.1005,5.1e-05,0.03,17
2.0824,5.399999999999999e-05,0.04,18
2.0464,5.6999999999999996e-05,0.04,19
2.0099,5.9999999999999995e-05,0.04,20
1.9853,6.299999999999999e-05,0.04,21
1.9524,6.599999999999999e-05,0.04,22
1.8955,6.9e-05,0.05,23
1.8503,7.199999999999999e-05,0.05,24
1.7881,7.5e-05,0.05,25
1.7811,7.8e-05,0.05,26
1.7321,8.1e-05,0.05,27
1.6807,8.4e-05,0.06,28
1.6272,8.699999999999999e-05,0.06,29
1.5688,8.999999999999999e-05,0.06,30
1.4801,9.3e-05,0.06,31
1.4139,9.599999999999999e-05,0.07,32
1.3372,9.9e-05,0.07,33
1.1896,0.000102,0.07,34
1.1325,0.00010499999999999999,0.07,35
1.0815,0.00010799999999999998,0.07,36
0.9748,0.00011099999999999999,0.08,37
0.8836,0.00011399999999999999,0.08,38
0.8385,0.000117,0.08,39
0.7717,0.00011999999999999999,0.08,40
0.7274,0.00012299999999999998,0.08,41
0.6815,0.00012599999999999997,0.09,42
0.5771,0.000129,0.09,43
0.5952,0.00013199999999999998,0.09,44
0.5821,0.000135,0.09,45
0.5563,0.000138,0.09,46
0.5417,0.00014099999999999998,0.1,47
0.5191,0.00014399999999999998,0.1,48
0.4969,0.000147,0.1,49
0.537,0.00015,0.1,50
0.8561,0.00015,0.1,51
0.8892,0.00015299999999999998,0.11,52
0.8614,0.000156,0.11,53
0.8097,0.000159,0.11,54
0.7993,0.000162,0.11,55
0.7929,0.000165,0.11,56
0.7608,0.000168,0.12,57
