{'loss': 1.7993, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 1.9707, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.1072, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.117, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.1126, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.1435, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.1422, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.157, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.1625, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.1588, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.1463, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.1606, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.1536, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.1683, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.1508, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.1021, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 2.0684, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.0803, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 2.039, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 2.0087, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 1.9597, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 1.9397, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.8851, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.8421, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.792, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.7843, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.7406, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.696, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.6395, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.5462, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.5136, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.4102, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.331, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 1.1886, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 1.1209, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 1.0665, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 0.9659, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.8778, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.8441, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.7964, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
{'loss': 0.7128, 'learning_rate': 0.00012299999999999998, 'epoch': 0.08, 'steps': 41}
{'loss': 0.676, 'learning_rate': 0.00012599999999999997, 'epoch': 0.09, 'steps': 42}
{'loss': 0.5596, 'learning_rate': 0.000129, 'epoch': 0.09, 'steps': 43}
{'loss': 0.5936, 'learning_rate': 0.00013199999999999998, 'epoch': 0.09, 'steps': 44}
{'loss': 0.5639, 'learning_rate': 0.000135, 'epoch': 0.09, 'steps': 45}
{'loss': 0.5472, 'learning_rate': 0.000138, 'epoch': 0.09, 'steps': 46}
{'loss': 0.5307, 'learning_rate': 0.00014099999999999998, 'epoch': 0.1, 'steps': 47}
{'loss': 0.5154, 'learning_rate': 0.00014399999999999998, 'epoch': 0.1, 'steps': 48}
{'loss': 0.4913, 'learning_rate': 0.000147, 'epoch': 0.1, 'steps': 49}
{'loss': 0.5725, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 50}
{'loss': 0.8929, 'learning_rate': 0.00015, 'epoch': 0.1, 'steps': 51}
{'loss': 0.859, 'learning_rate': 0.00015299999999999998, 'epoch': 0.11, 'steps': 52}
{'loss': 0.8423, 'learning_rate': 0.000156, 'epoch': 0.11, 'steps': 53}
{'loss': 0.8291, 'learning_rate': 0.000159, 'epoch': 0.11, 'steps': 54}
{'loss': 0.8092, 'learning_rate': 0.000162, 'epoch': 0.11, 'steps': 55}
{'loss': 0.8081, 'learning_rate': 0.000165, 'epoch': 0.11, 'steps': 56}
{'loss': 0.7864, 'learning_rate': 0.000168, 'epoch': 0.12, 'steps': 57}
