loss,learning_rate,epoch,steps
1.7993,2.9999999999999997e-06,0.0,1
1.9707,5.999999999999999e-06,0.0,2
2.1072,8.999999999999999e-06,0.01,3
2.117,1.1999999999999999e-05,0.01,4
2.1126,1.4999999999999999e-05,0.01,5
2.1435,1.7999999999999997e-05,0.01,6
2.1422,2.1e-05,0.01,7
2.157,2.3999999999999997e-05,0.02,8
2.1625,2.6999999999999996e-05,0.02,9
2.1588,2.9999999999999997e-05,0.02,10
2.1463,3.2999999999999996e-05,0.02,11
2.1606,3.5999999999999994e-05,0.02,12
2.1536,3.9e-05,0.03,13
2.1683,4.2e-05,0.03,14
2.1508,4.4999999999999996e-05,0.03,15
2.1021,4.7999999999999994e-05,0.03,16
2.0684,5.1e-05,0.03,17
2.0803,5.399999999999999e-05,0.04,18
2.039,5.6999999999999996e-05,0.04,19
2.0087,5.9999999999999995e-05,0.04,20
1.9597,6.299999999999999e-05,0.04,21
1.9397,6.599999999999999e-05,0.04,22
1.8851,6.9e-05,0.05,23
1.8421,7.199999999999999e-05,0.05,24
1.792,7.5e-05,0.05,25
1.7843,7.8e-05,0.05,26
1.7406,8.1e-05,0.05,27
1.696,8.4e-05,0.06,28
1.6395,8.699999999999999e-05,0.06,29
1.5462,8.999999999999999e-05,0.06,30
1.5136,9.3e-05,0.06,31
1.4102,9.599999999999999e-05,0.07,32
1.331,9.9e-05,0.07,33
1.1886,0.000102,0.07,34
1.1209,0.00010499999999999999,0.07,35
1.0665,0.00010799999999999998,0.07,36
0.9659,0.00011099999999999999,0.08,37
0.8778,0.00011399999999999999,0.08,38
0.8441,0.000117,0.08,39
0.7964,0.00011999999999999999,0.08,40
0.7128,0.00012299999999999998,0.08,41
0.676,0.00012599999999999997,0.09,42
0.5596,0.000129,0.09,43
0.5936,0.00013199999999999998,0.09,44
0.5639,0.000135,0.09,45
0.5472,0.000138,0.09,46
0.5307,0.00014099999999999998,0.1,47
0.5154,0.00014399999999999998,0.1,48
0.4913,0.000147,0.1,49
0.5725,0.00015,0.1,50
0.8929,0.00015,0.1,51
0.859,0.00015299999999999998,0.11,52
0.8423,0.000156,0.11,53
0.8291,0.000159,0.11,54
0.8092,0.000162,0.11,55
0.8081,0.000165,0.11,56
0.7864,0.000168,0.12,57
0.7622,0.00017099999999999998,0.12,58
0.7417,0.00017399999999999997,0.12,59
0.7175,0.00017699999999999997,0.12,60
0.7425,0.00017999999999999998,0.12,61
0.8084,0.00018299999999999998,0.13,62
0.6718,0.000186,0.13,63
0.671,0.00018899999999999999,0.13,64
0.6373,0.00019199999999999998,0.13,65
0.6558,0.000195,0.13,66
0.646,0.000198,0.14,67
0.6548,0.000201,0.14,68
0.6339,0.000204,0.14,69
0.587,0.00020699999999999996,0.14,70
0.5985,0.00020999999999999998,0.14,71
0.5668,0.00021299999999999997,0.15,72
0.5789,0.00021599999999999996,0.15,73
0.5801,0.00021899999999999998,0.15,74
0.5768,0.00022199999999999998,0.15,75
0.5559,0.000225,0.15,76
0.5501,0.00022799999999999999,0.16,77
0.518,0.00023099999999999998,0.16,78
0.5279,0.000234,0.16,79
0.5174,0.000237,0.16,80
0.5163,0.00023999999999999998,0.16,81
0.5134,0.000243,0.17,82
0.4999,0.00024599999999999996,0.17,83
0.4912,0.000249,0.17,84
0.4809,0.00025199999999999995,0.17,85
0.4635,0.00025499999999999996,0.18,86
0.4798,0.000258,0.18,87
0.454,0.000261,0.18,88
0.4352,0.00026399999999999997,0.18,89
0.4407,0.000267,0.18,90
0.4176,0.00027,0.19,91
0.4187,0.00027299999999999997,0.19,92
0.405,0.000276,0.19,93
0.4047,0.000279,0.19,94
0.3973,0.00028199999999999997,0.19,95
0.3845,0.000285,0.2,96
0.3621,0.00028799999999999995,0.2,97
