{'loss': 1.9324, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0, 'steps': 1}
{'loss': 2.1432, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.0, 'steps': 2}
{'loss': 2.218, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01, 'steps': 3}
{'loss': 2.2303, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01, 'steps': 4}
{'loss': 2.2813, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01, 'steps': 5}
{'loss': 2.2661, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.01, 'steps': 6}
{'loss': 2.2817, 'learning_rate': 2.1e-05, 'epoch': 0.01, 'steps': 7}
{'loss': 2.3089, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.02, 'steps': 8}
{'loss': 2.2935, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.02, 'steps': 9}
{'loss': 2.2605, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.02, 'steps': 10}
{'loss': 2.267, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.02, 'steps': 11}
{'loss': 2.2512, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.02, 'steps': 12}
{'loss': 2.2406, 'learning_rate': 3.9e-05, 'epoch': 0.03, 'steps': 13}
{'loss': 2.2146, 'learning_rate': 4.2e-05, 'epoch': 0.03, 'steps': 14}
{'loss': 2.1949, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.03, 'steps': 15}
{'loss': 2.1658, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.03, 'steps': 16}
{'loss': 2.1059, 'learning_rate': 5.1e-05, 'epoch': 0.03, 'steps': 17}
{'loss': 2.0476, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.04, 'steps': 18}
{'loss': 2.0446, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.04, 'steps': 19}
{'loss': 2.0083, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.04, 'steps': 20}
{'loss': 1.9689, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.04, 'steps': 21}
{'loss': 1.9291, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.04, 'steps': 22}
{'loss': 1.8864, 'learning_rate': 6.9e-05, 'epoch': 0.05, 'steps': 23}
{'loss': 1.8097, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.05, 'steps': 24}
{'loss': 1.7272, 'learning_rate': 7.5e-05, 'epoch': 0.05, 'steps': 25}
{'loss': 1.6095, 'learning_rate': 7.8e-05, 'epoch': 0.05, 'steps': 26}
{'loss': 1.5937, 'learning_rate': 8.1e-05, 'epoch': 0.05, 'steps': 27}
{'loss': 1.4891, 'learning_rate': 8.4e-05, 'epoch': 0.06, 'steps': 28}
{'loss': 1.4173, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.06, 'steps': 29}
{'loss': 1.3262, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.06, 'steps': 30}
{'loss': 1.2572, 'learning_rate': 9.3e-05, 'epoch': 0.06, 'steps': 31}
{'loss': 1.159, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.07, 'steps': 32}
{'loss': 1.0851, 'learning_rate': 9.9e-05, 'epoch': 0.07, 'steps': 33}
{'loss': 1.0069, 'learning_rate': 0.000102, 'epoch': 0.07, 'steps': 34}
{'loss': 0.8822, 'learning_rate': 0.00010499999999999999, 'epoch': 0.07, 'steps': 35}
{'loss': 0.8952, 'learning_rate': 0.00010799999999999998, 'epoch': 0.07, 'steps': 36}
{'loss': 0.8749, 'learning_rate': 0.00011099999999999999, 'epoch': 0.08, 'steps': 37}
{'loss': 0.8441, 'learning_rate': 0.00011399999999999999, 'epoch': 0.08, 'steps': 38}
{'loss': 0.8005, 'learning_rate': 0.000117, 'epoch': 0.08, 'steps': 39}
{'loss': 0.7827, 'learning_rate': 0.00011999999999999999, 'epoch': 0.08, 'steps': 40}
