loss,learning_rate,epoch,steps
1.8372,2.9999999999999997e-06,0.0,1
2.0425,5.999999999999999e-06,0.0,2
2.1156,8.999999999999999e-06,0.01,3
2.1208,1.1999999999999999e-05,0.01,4
2.1735,1.4999999999999999e-05,0.01,5
2.1556,1.7999999999999997e-05,0.01,6
2.1709,2.1e-05,0.01,7
2.1888,2.3999999999999997e-05,0.02,8
2.1776,2.6999999999999996e-05,0.02,9
2.1508,2.9999999999999997e-05,0.02,10
2.1489,3.2999999999999996e-05,0.02,11
2.1354,3.5999999999999994e-05,0.02,12
2.1252,3.9e-05,0.03,13
2.1019,4.2e-05,0.03,14
2.09,4.4999999999999996e-05,0.03,15
2.0654,4.7999999999999994e-05,0.03,16
2.0149,5.1e-05,0.03,17
1.9671,5.399999999999999e-05,0.04,18
1.9768,5.6999999999999996e-05,0.04,19
1.9516,5.9999999999999995e-05,0.04,20
1.915,6.299999999999999e-05,0.04,21
1.8784,6.599999999999999e-05,0.04,22
1.8423,6.9e-05,0.05,23
1.7724,7.199999999999999e-05,0.05,24
1.6914,7.5e-05,0.05,25
1.5768,7.8e-05,0.05,26
1.5595,8.1e-05,0.05,27
1.4603,8.4e-05,0.06,28
1.3952,8.699999999999999e-05,0.06,29
1.3094,8.999999999999999e-05,0.06,30
1.2376,9.3e-05,0.06,31
1.1311,9.599999999999999e-05,0.07,32
1.0507,9.9e-05,0.07,33
0.9766,0.000102,0.07,34
0.8449,0.00010499999999999999,0.07,35
0.8505,0.00010799999999999998,0.07,36
0.8247,0.00011099999999999999,0.08,37
0.7948,0.00011399999999999999,0.08,38
0.7469,0.000117,0.08,39
0.7267,0.00011999999999999999,0.08,40
0.6894,0.00012299999999999998,0.08,41
0.6667,0.00012599999999999997,0.09,42
0.5829,0.000129,0.09,43
0.592,0.00013199999999999998,0.09,44
0.5952,0.000135,0.09,45
0.5645,0.000138,0.09,46
0.5351,0.00014099999999999998,0.1,47
0.5058,0.00014399999999999998,0.1,48
0.4611,0.000147,0.1,49
0.5278,0.00015,0.1,50
0.9306,0.00015299999999999998,0.1,51
0.9021,0.000156,0.11,52
0.8661,0.000159,0.11,53
0.843,0.000162,0.11,54
